Name;Degree
;0
Dungbomb;1
Eye;9
pompously;12
Hogsmeade;11
Shrivelfig;1
Father;1
Muggles;7
Dudley;4
Cho;8
Shack;1
tersely;9
earth;0
White;9
still;2
Ravenclaw;10
Dad;3
Brown;10
Angelina;8
Rules;1
McGonagall;2
Diggory;7
silkily;11
Fred;37
Hall;9
Fisheries;1
Hogwarts;6
Ripper;3
dully;8
tremulously;10
Manticore;1
Binky;2
Brutus;1
confidently;7
Minister;3
real;0
good;1
Magic;10
Arithmancy;8
James;13
Voldemort;6
I'd;22
Aunt;5
nearly;2
Animagus;3
not;1
Ern;10
Menagerie;12
Office;1
keenly;9
Pettigrew;10
pal;1
Dementors;30
Penny;5
Potter;17
Alley;1
Grim;2
Penelope;2
tartly;9
Book;1
Prefects;1
Black;51
George;28
Animagi;2
Fubster;2
calmly;6
Willow;3
Honeydukes;3
uncomfortably;9
Tom;3
Weasley;23
Inee;6
hair;1
hoarsely;11
Invisibility;1
irritably;8
Longbottom;2
Crabbe;14
defensively;12
Scabbers;19
huffily;5
Nimbus;8
blankly;6
normal;1
hastily;6
Filch;16
seriously;1
Bilius;1
Severus;9
London;5
coolly;7
airily;10
Kep;10
stoutly;8
Neville;36
Patronus;4
Johnson;1
Norbert;10
Professor;78
never;3
You-Know-Who;4
here;2
Azkaban;4
Rosmerta;19
Wormtail;1
Malfoy;49
Mr;10
Firstly;5
Star;1
Sh-she;1
Lucius;1
coldly;11
abruptly;6
oo;1
Yeh;11
Bludger;1
Hagrid;46
Dean;16
You'd;3
Ron;142
Lupin;75
Miss;3
Lavender;16
Parkinson;14
Percy;32
uncertainly;6
Powder;1
Committee;9
Slytherin;14
Hinkypunk;1
Cornelius;4
Galleons;2
Pomfrey;8
quietly;15
Parvati;15
Zonko;1
Sir;7
suddenly;10
Crookshanks;27
wearily;4
Muggle;2
simply;4
Beater;3
doubtfully;9
thoughtfully;9
Hufflepuff;8
Sirius;2
It'd;2
Gawd;1
truthfully;12
sadly;8
Snape;55
Monday;1
June;1
long;1
jerkily;11
Vernon;5
Uncle;9
Marge;12
bitterly;6
Stan;15
Flint;8
friend;2
Care;1
October;8
H-he;1
Ministry;5
happily;1
Errol;2
grimly;2
Snitch;6
Firebolt;13
dispiritedly;11
heartily;5
vaguely;4
You-Know-'Oo;1
Harry;169
Seamus;26
Madam;10
word;9
anything;1
Malkin;1
Century;1
boring;1
past;1
idly;11
Boggart;16
Hedwig;6
Colin;12
slowly;12
Kappas;1
cake;1
Peter;4
Flobberworms;1
Dursleys;6
hurriedly;13
Sevens;1
brightly;3
Quidditch;6
Thomas;6
Whizzbees;1
He'd;2
Solution;1
Grindylow;12
Wizards;1
stubbornly;8
Lord;1
Padfoot;1
Lovely;4
Ginny;5
Christmas;10
Albus;1
again;8
Gryffindor;12
Tha;1
Class;1
Alicia;5
Wood;34
Warrington;1
eagerly;10
Moony;2
approvingly;3
Charm;3
defiantly;10
feeling;1
instead;1
Marauder;4
Lady;16
Shoulda;8
We'd;1
Gift;1
fiercely;16
Dissendium;3
Dumbledore;25
Don;5
Crystal-gazing;1
Prophet;1
faintly;7
Drive;5
Mrs;12
Trelawney;10
moment;12
Future;13
Hermione;125
Comet;1
Hooch;16
Order;1
Butterbeer;1
Lee;14
shortly;4
Egypt;1
Secret-Keeper;9
voice;11
roughly;11
Hippogriff;15
briskly;3
spiritedly;9
Buckbeak;11
time;4
solemnly;3
Katie;6
Saturday;1
Quaffle;3
