Name;Degree
;0
Bogies;1
pompously;9
Muggles;4
Dudley;15
Dundee;1
earth;4
Hat;1
Ravenclaw;2
needin;1
Dad;1
McGonagall;8
Fred;15
only;1
Hogwarts;6
Flint;5
Granger;2
Who'd;1
Magic;2
casually;5
Stalagmite;1
Voldemort;8
Mrs.;1
angrily;3
I'd;9
Aunt;7
Flamel;4
Piers;2
reasonably;2
anxiously;4
Potter;4
twice;4
London;1
team;1
Norris;1
Petunia;5
George;14
Levi-o-sa;1
calmly;6
He-Who-Must-Not-Be-Named;1
D'yeh;1
Weasley;22
Diggle;5
furiously;6
Quirrell;6
Goyle;12
Head;1
Lee;12
No...you;1
Nimbus;1
Filch;5
Severus;1
Sorcerer;2
airily;9
Neville;22
Heaven;1
Charlie;4
Professor;30
Bill;2
You-Know-Who;8
Malfoy;23
darkly;9
Galleons;1
shakily;7
coldly;3
Gringotts;3
boy;2
Romania;1
Hagrid;70
Dean;4
You'd;2
Ron;65
Dead;0
Percy;25
Griphook;2
loudly;8
Little;1
Slytherin;14
Cornelius;1
Pomfrey;3
already;1
Baron;1
Beaters;1
suddenly;12
Knuts;1
Nick;10
Black;1
Spinnet;1
Stone;1
Hufflepuff;7
Lily;2
Hooch;8
It'd;1
Monday;1
Remembrall;10
quickly;3
breathlessly;3
Vernon;8
Uncle;16
Marge;2
Erised;1
Yeh;2
Snitch;2
Ridgeback;1
Dragon;1
Hags;4
Quaffle;2
Harry;92
Seamus;12
past;1
Night;1
Cauldron;1
Wizards;1
Sir;1
Oliver;2
Quidditch;3
Dursley;17
Agrippa;2
Wizard;2
Father;1
gently;10
He'd;7
gloomily;3
Mr.;3
Wood;29
Bludgers;1
something;4
Forge;1
Chaser;9
mysteriously;1
Christmas;2
again;4
Gryffindor;5
thing;7
Hannah;7
Ministry;1
Snape;16
wantin;1
Lady;0
Hall;5
Great;1
Dumbledore;25
opposite;4
Mirror;2
Parkinson;7
Hermione;34
letter;1
Transfiguration;1
Patil;7
Scabbers;6
Captain;0
Arts;1
Fancy;1
Ollivander;1
