Name;Degree
;0
Pomfrey;1
calmly;6
Dursley;17
suddenly;6
D'yeh;1
Muggles;2
gently;8
Dundee;1
Diggle;5
Wizards;1
Black;1
earth;1
Lily;2
needin;1
Head;1
Monday;1
McGonagall;7
Vernon;8
Hogwarts;2
Uncle;15
Marge;2
Who'd;1
wantin;1
Petunia;5
furiously;6
Magic;1
Ministry;1
Professor;13
Dumbledore;12
You-Know-Who;4
Voldemort;8
Mrs.;1
angrily;3
I'd;3
Aunt;7
letter;1
Harry;26
Dudley;15
Piers;2
Gringotts;3
Yeh;2
Night;1
Hagrid;34
You'd;1
Knuts;1
Potter;2
Fancy;1
twice;4
loudly;5
London;1
Little;1
Quirrell;4
Hags;4
Cornelius;1
