Context;Start;End;
0;4;57
1;31;124
2;102;150
3;142;168
4;169;327
5;328;337
6;338;358
7;350;370
8;371;646
9;647;676
10;677;718
11;719;767
12;752;822
13;812;893
14;882;912
15;913;995
16;996;1115
17;1105;1202
18;1188;1249
19;1240;1350
20;1351;1409
21;1396;1457
22;1448;1485
23;1467;1557
24;1558;1612
25;1613;1763
26;1755;1899
27;1891;1907
28;1908;1932
29;1933;1934
30;1935;1957
31;1948;1990
32;1991;1995
33;1996;2039
34;2040;2044
35;2045;2050
36;2051;2087
37;2088;2195
38;2196;2219
39;2220;2246
40;2235;2313
41;2314;2360
42;2349;2399
43;2400;2498
44;2499;2540
45;2541;2585
46;2576;2606
47;2607;2639
48;2629;2683
49;2675;2722
50;2713;2845
51;2846;2883
52;2884;2919
53;2909;2940
54;2941;3092
55;3077;3102
56;3093;3163
57;3148;3204
58;3205;3243
59;3230;3274
60;3275;3321
61;3311;3353
62;3343;3391
63;3382;3485
64;3486;3490
65;3491;3561
66;3562;3577
67;3578;3579
68;3580;3685
69;3686;3751
70;3752;3780
71;3772;3821
72;3811;3877
73;3869;3894
74;3882;3931
75;3932;3958
76;3959;3976
77;3977;4004
78;4005;4063
79;4064;4083
80;4084;4178
81;4179;4196
82;4186;4254
83;4255;4286
84;4277;4357
85;4333;4428
86;4417;4453
87;4434;4463
88;4464;4484
89;4485;4534
90;4535;4575
91;4576;4577
92;4578;4656
93;4657;4775
94;4767;4836
95;4826;4842
96;4843;4988
97;4973;5039
98;5027;5057
99;5044;5074
100;5058;5116
101;5097;5178
102;5179;5202
103;5194;5366
104;5367;5375
105;5376;5387
106;5378;5404
