Dialog #;Spacing (#Lines between two lines)
6;0
7;1
9;2
10;1
11;1
14;3
15;1
16;1
18;2
19;1
21;2
22;1
23;1
24;1
25;1
27;2
28;1
30;2
57;27
59;2
64;5
65;1
66;1
67;1
68;1
69;1
71;2
72;1
73;1
74;1
75;1
76;1
77;1
79;2
81;2
83;2
84;1
85;1
86;1
87;1
90;3
92;2
93;1
94;1
97;3
101;4
124;23
126;2
128;2
129;1
130;1
131;1
133;2
135;2
137;2
138;1
139;1
140;1
141;1
150;9
154;4
158;4
161;3
173;0
176;3
177;1
178;1
179;1
180;1
181;1
182;1
183;1
184;1
187;3
188;1
189;1
191;2
192;1
194;2
195;1
196;1
197;1
200;3
202;2
203;1
205;2
206;1
207;1
208;1
211;3
212;1
213;1
214;1
215;1
217;2
220;3
221;1
222;1
224;2
225;1
227;2
228;1
232;4
234;2
236;2
237;1
238;1
239;1
241;2
242;1
243;1
245;2
246;1
247;1
249;2
252;3
254;2
256;2
259;3
260;1
262;2
263;1
266;3
267;1
268;1
270;2
272;2
273;1
274;1
278;4
281;3
282;1
283;1
287;4
291;4
292;1
293;1
294;1
295;1
297;2
303;6
311;8
312;1
329;0
330;1
349;0
358;9
361;3
371;0
372;1
376;4
378;2
379;1
380;1
381;1
382;1
383;1
384;1
385;1
386;1
387;1
388;1
389;1
390;1
397;7
398;1
399;1
400;1
401;1
404;3
406;2
407;1
415;8
417;2
419;2
420;1
425;5
426;1
428;2
433;5
436;3
438;2
439;1
442;3
443;1
444;1
446;2
448;2
449;1
450;1
451;1
452;1
453;1
455;2
456;1
459;3
461;2
462;1
467;5
468;1
469;1
470;1
471;1
472;1
473;1
475;2
477;2
478;1
479;1
480;1
481;1
482;1
483;1
484;1
485;1
486;1
489;3
492;3
500;8
501;1
503;2
504;1
508;4
509;1
512;3
513;1
514;1
516;2
518;2
519;1
520;1
521;1
524;3
532;8
534;2
535;1
537;2
539;2
541;2
543;2
546;3
547;1
549;2
550;1
551;1
552;1
553;1
554;1
557;3
563;6
564;1
565;1
569;4
570;1
571;1
572;1
577;5
578;1
580;2
582;2
585;3
587;2
589;2
591;2
592;1
596;4
598;2
600;2
601;1
603;2
604;1
608;4
609;1
611;2
612;1
613;1
614;1
615;1
617;2
618;1
619;1
620;1
621;1
622;1
626;4
631;5
633;2
639;6
640;1
649;0
654;5
655;1
662;7
678;0
679;1
681;2
682;1
683;1
688;5
690;2
691;1
692;1
694;2
695;1
696;1
697;1
698;1
699;1
707;8
708;1
712;4
721;0
724;3
726;2
727;1
728;1
729;1
730;1
731;1
732;1
733;1
735;2
737;2
738;1
740;2
741;1
742;1
743;1
744;1
745;1
746;1
747;1
748;1
751;3
767;16
768;1
769;1
770;1
771;1
773;2
774;1
776;2
777;1
778;1
780;2
782;2
784;2
786;2
787;1
788;1
790;2
791;1
792;1
793;1
794;1
795;1
796;1
798;2
799;1
800;1
801;1
807;6
809;2
811;2
822;11
827;5
828;1
831;3
832;1
837;5
838;1
839;1
840;1
841;1
843;2
846;3
847;1
850;3
851;1
852;1
854;2
855;1
856;1
858;2
859;1
861;2
862;1
864;2
867;3
869;2
870;1
871;1
873;2
874;1
875;1
876;1
878;2
879;1
881;2
893;12
899;6
900;1
901;1
913;0
914;1
916;2
920;4
921;1
925;4
926;1
931;5
935;4
938;3
939;1
942;3
943;1
946;3
