New character;Link to
Third;Dursleys;
Dudley;Petunia;Uncle;Dursleys;Harry;
Uncle;Petunia;Dudley;Dursleys;Harry;
Harry;Petunia;Uncle;Dudley;Dursleys;
Petunia;Harry;Uncle;Dudley;Dursleys;
Dursleys;Petunia;Uncle;Dudley;Third;Harry;
Mr.;Harry;
Vernon;Dudley;Aunt;Harry;Uncle;Petunia;tonelessly;
Aunt;Dudley;Vernon;Uncle;Harry;Petunia;tonelessly;
Mason;Uncle;
tonelessly;Dudley;Vernon;Aunt;Harry;Uncle;Petunia;
Dad;Dudley;
coolly;Better;Dudley;Harry;
Better;coolly;
family;Dobby;
Power;Dobby;
earnestly;Mason;Uncle;Dobby;politely;Harry;
headmaster;Dobby;
Dumbledore;Dobby;Harry;
Hermione;Harry;
politely;Mason;Uncle;Dobby;Harry;earnestly;voice;
Please...they;Harry;
Potter;Dobby;Harry;
Dobby;Power;family;headmaster;Dumbledore;Potter;Mason;Uncle;Dobby;politely;Harry;earnestly;voice;
voice;Mason;Uncle;Dobby;politely;Harry;
grimly;
thirteen-year-old;Fred;
Muggle;Weasley;Ron;Harry;
Mortlake;Weasley;
Fred;Dad;Ron;Ministry;You-Know-Who;thirteen-year-old;Weasley;Errol;George;Percy;Hogwarts;Uncle;Harry;Dursleys;
Hogwarts;Fred;
Hermes;Ron;
Care;Ron;
Ministry;Fred;
Errol;Ron;Fred;
You-Know-Who;Fred;
Malfoy;Ron;
Weasley;Ron;Mortlake;Fred;Muggle;Uncle;Committee;Harry;George;
You'd;George;
Ron;Dad;Hedwig;Errol;Weasley;Malfoy;Fred;Percy;Muggle;Uncle;Fletcher;Harry;Perkins;Hermes;George;Care;
Hedwig;Ron;
House;George;
Perkins;Ron;
Percy;Ron;Fred;
Fletcher;Ron;
Committee;Weasley;
George;Dad;You'd;Ron;House;Weasley;Fred;Uncle;Harry;
already;Fred;
Ginny;George;
Bill;George;
Lockhart;Fred;
W-what;Weasley;
Mrs.;Harry;Weasley;Ron;Fred;
still;Malfoy;
Nimbus;Malfoy;
Voldemort;Malfoy;
Draco;Mr.;Malfoy;
I'd;Hagrid;
enviously;Hagrid;Ron;Weasley;Mrs.;Mr.;Harry;
Yeh;Hagrid;
Hagrid;Yeh;Ron;Weasley;Mrs.;Mr.;I'd;Malfoy;Harry;enviously;
Minister;Weasley;
Gilderoy;Malfoy;
young;Lockhart;
Prophet;Fred;
here;Ron;
We'd;Ron;
miserably;Ron;Harry;
again;enthusiastically;Prophet;Snape;Ron;Harry;
Snape;enthusiastically;again;Prophet;Ron;Harry;
enthusiastically;again;Prophet;Snape;Ron;Harry;
Gryffindor;Professor;
sagely;Neville;Dean;Lee;Ron;impatiently;Professor;Dumbledore;thirteen-year-old;Harry;
Neville;sagely;Dean;Lee;Ron;impatiently;Professor;Dumbledore;thirteen-year-old;Harry;
Lee;Neville;sagely;Dean;Ron;impatiently;Professor;Dumbledore;thirteen-year-old;Harry;
Dean;Neville;sagely;Lee;Ron;impatiently;Professor;Dumbledore;thirteen-year-old;Harry;
impatiently;Neville;sagely;Dean;Lee;Ron;Professor;Dumbledore;thirteen-year-old;Harry;
Professor;Neville;sagely;Dean;Lee;Ron;impatiently;Dumbledore;thirteen-year-old;Gryffindor;Harry;
Mail;Ron;
Granger;Ron;
faintly;Hermione;Neville;Howler;Ron;Harry;
Howler;faintly;Ron;
Mandrakes;Professor;Lockhart;
Willow;Hermione;
Weekly;Harry;
Mother;Hermione;
Justin;I'd;Hermione;Mandrakes;
Creevey;Ron;
back;Ron;
angrily;Ron;Malfoy;Colin;Hermione;Harry;Lockhart;
It'd;Malfoy;
Colin;Ron;You-Know-Who;angrily;Malfoy;Hermione;Harry;Lockhart;
Mommy;Malfoy;
Flint;sharply;Ron;exasperated;Malfoy;Colin;Wood;Hermione;flatly;Harry;heartily;Draco;George;
exasperated;sharply;Ron;Malfoy;Colin;Wood;Flint;Hermione;flatly;Harry;heartily;George;
flatly;Ron;exasperated;Malfoy;Colin;Wood;Flint;Hermione;sharply;Harry;heartily;George;
Bludger;Harry;
Slytherin;George;
Beaters;Harry;
Snitch;Harry;
heartily;sharply;Ron;exasperated;Malfoy;Colin;Wood;Flint;Hermione;flatly;Harry;George;
sharply;Ron;exasperated;Malfoy;Colin;Wood;Flint;Hermione;flatly;Harry;heartily;George;
Quidditch;Colin;Harry;
Wood;sharply;Ron;exasperated;Malfoy;Colin;Flint;Hermione;flatly;Harry;heartily;George;
Treacle;Hagrid;
Celebrity;Hagrid;
hoarsely;Hagrid;Ron;Professor;Malfoy;Colin;Hermione;Harry;Lockhart;abruptly;
Mudbloods;Ron;
Filch;Ron;
Lucius;Hagrid;
abruptly;Hagrid;Ron;Professor;Colin;hoarsely;Hermione;Harry;Lockhart;
Fame;Hagrid;
Head;Nick;I'd;Harry;
Nick;Head;Hunt;Harry;
Hunt;Nick;
;
Ones;Harry;
quickly;Filch;Head;Harry;
Norris;Nick;excitedly;Harry;
excitedly;Nick;Norris;Harry;
Hall;Harry;
nervously;Head;Hermione;Ron;
Myrtle;Hermione;
Sir;stiffly;Head;Ron;Hunt;Nick;Hermione;Harry;Myrtle;Hall;Lockhart;
stiffly;Sir;Head;Ron;Nick;Hermione;Harry;Myrtle;Hall;Lockhart;
earth;Harry;
Magic;Dumbledore;
Squib;Filch;Harry;
patiently;Mandrakes;Ron;Norris;Dumbledore;Filch;Snape;Harry;nothing;Lockhart;
nothing;Ron;Professor;Dumbledore;Filch;Snape;Harry;Lockhart;patiently;
Chamber;Harry;
