Node 1;Node 2;Weight;Mentions
Stone;Harry;0.0;1
Hagrid;anxiously;-0.0695138888889;8
Hagrid;Ron;-0.0695138888889;8
Hagrid;Dumbledore;0.0;1
Hagrid;Ridgeback;-0.0420634920635;1
Hagrid;Hermione;-0.0356111111111;10
Hagrid;Harry;-0.00806637806638;14
Hagrid;Sorcerer;0.0;1
Ron;anxiously;0.0;2
Ron;Hagrid;-0.0695138888889;8
Ron;Hermione;0.05;4
Ron;Harry;0.0553977272727;8
anxiously;Hagrid;-0.0695138888889;8
anxiously;Hermione;0.05;4
anxiously;Ron;0.0;2
anxiously;Harry;0.0553977272727;8
Ridgeback;Hagrid;-0.0420634920635;1
Snape;Harry;0.0;1
Hermione;anxiously;0.05;4
Hermione;Dumbledore;0.0;1
Hermione;Hagrid;-0.0356111111111;10
Hermione;Ron;0.05;4
Hermione;Harry;0.0643181818182;10
Harry;Stone;0.0;1
Harry;Hagrid;-0.00806637806638;14
Harry;Ron;0.0553977272727;8
Harry;anxiously;0.0553977272727;8
Harry;Snape;0.0;1
Harry;Hermione;0.0643181818182;10
Dumbledore;Hagrid;0.0;1
Dumbledore;Hermione;0.0;1
Sorcerer;Hagrid;0.0;1
