Node 1;Node 2;Weight;Mentions
Hagrid;Ron;-0.0916666666667;9
Hagrid;Snitch;0.0;1
Hagrid;Snape;-0.0333333333333;6
Hagrid;Flamel;-0.6;1
Hagrid;Harry;-0.0666666666667;3
Hagrid;Flint;-0.1;4
Ron;Snape;-0.078125;8
Ron;Hagrid;-0.0916666666667;9
Ron;Flint;-0.117857142857;7
Ron;Harry;-0.0892857142857;7
Harry;Snape;0.0;1
Harry;Hagrid;-0.0666666666667;3
Harry;Flint;-0.2;1
Harry;Ron;-0.0892857142857;7
Harry;Flamel;0.0;1
Snape;Snape;0.0;1
Snape;Hagrid;-0.0333333333333;6
Snape;Flint;-0.1;2
Snape;Ron;-0.078125;8
Snape;Harry;0.0;1
Flamel;Hagrid;-0.6;1
Flamel;Harry;0.0;1
Snitch;Hagrid;0.0;1
Flint;Hagrid;-0.1;4
Flint;Snape;-0.1;2
Flint;Ron;-0.117857142857;7
Flint;Harry;-0.2;1
