Node 1;Node 2;Weight;Mentions
Neville;Ron;0.0;2
Neville;Hannah;-0.0257575757576;11
Neville;Harry;0.0268398268398;14
Neville;Malfoy;0.0;3
Neville;Percy;0.0;2
Neville;thing;0.0;3
Neville;Slytherin;0.0;3
Ron;Neville;0.0;2
Ron;Hannah;-0.0314814814815;9
Ron;Harry;0.0313131313131;12
Ron;Malfoy;0.0;1
Ron;Fred;0.0;1
Ron;thing;0.0;1
Ron;Slytherin;0.0;1
Hannah;Neville;-0.0257575757576;11
Hannah;Ron;-0.0314814814815;9
Hannah;Harry;0.00440115440115;21
Hannah;Malfoy;-0.0283333333333;10
Hannah;Percy;-0.0314814814815;9
Hannah;thing;-0.0283333333333;10
Hannah;Slytherin;0.019696969697;11
Harry;Neville;0.0268398268398;14
Harry;Ron;0.0313131313131;12
Harry;Hannah;0.00440115440115;21
Harry;Malfoy;0.0289044289044;13
Harry;Percy;0.0313131313131;12
Harry;thing;0.0289044289044;13
Harry;Slytherin;0.0289044289044;13
Potter;Percy;0.0;1
Malfoy;Neville;0.0;3
Malfoy;Ron;0.0;1
Malfoy;Hannah;-0.0283333333333;10
Malfoy;Harry;0.0289044289044;13
Malfoy;Percy;0.0;1
Malfoy;thing;0.0;2
Malfoy;Slytherin;0.0;2
Fred;Ron;0.0;1
Percy;Neville;0.0;2
Percy;Hannah;-0.0314814814815;9
Percy;Harry;0.0313131313131;12
Percy;Potter;0.0;1
Percy;Malfoy;0.0;1
Percy;thing;0.0;1
Percy;Slytherin;0.0;1
thing;Neville;0.0;3
thing;Ron;0.0;1
thing;Hannah;-0.0283333333333;10
thing;Harry;0.0289044289044;13
thing;Malfoy;0.0;2
thing;Percy;0.0;1
thing;Slytherin;0.0;2
Slytherin;Neville;0.0;3
Slytherin;Ron;0.0;1
Slytherin;Hannah;0.019696969697;11
Slytherin;Malfoy;0.0;2
Slytherin;Percy;0.0;1
Slytherin;thing;0.0;2
Slytherin;Harry;0.0289044289044;13
