Node 1;Node 2;Weight;Mentions
Ron;Professor;0.266071428571;7
Ron;Hermione;0.1875;5
Ron;Harry;0.186805555556;6
Professor;earth;0.0;1
Professor;Hermione;0.125;8
Professor;Ron;0.266071428571;7
Professor;Harry;0.122916666667;8
Dumbledore;Harry;0.470833333333;1
I'd;Harry;0.2;1
Hermione;Professor;0.125;8
Hermione;Ron;0.1875;5
Hermione;Harry;0.00972222222222;6
Harry;Professor;0.122916666667;8
Harry;I'd;0.2;1
Harry;Dumbledore;0.470833333333;1
Harry;Hermione;0.00972222222222;6
Harry;Ron;0.186805555556;6
earth;Professor;0.0;1
