Spacing;Frequency;Threshold=6
0;73
1;4169
2;901
3;373
4;222
5;140
6;113
7;78
8;52
9;56
10;44
11;23
12;24
13;32
14;24
15;11
16;13
17;14
18;8
19;4
20;5
21;4
22;6
23;2
24;4
25;5
26;7
27;4
28;4
29;3
30;2
31;5
32;0
33;3
34;0
35;2
36;0
37;4
38;2
39;1
40;0
41;0
42;1
43;0
44;0
45;0
46;1
47;0
48;1
49;2
50;0
51;0
52;0
53;0
54;0
55;0
56;1
57;1
58;0
59;0
60;0
61;0
62;1
63;1
64;0
65;0
66;0
67;0
68;0
