Name;Degree
Fang;2
Muggles;5
Dudley;9
Dundee;1
earth;1
Body-Bind;1
Ravenclaw;3
needin;1
Dad;1
Lucky;1
Fred;4
Well...Voldemort;1
Hogwarts;5
Who'd;1
Magic;3
casually;9
Stalagmite;1
Voldemort;4
angrily;3
I'd;8
Aunt;7
Bott;1
Piers;2
always;2
anxiously;7
Potter;2
blankly;4
twice;4
softly;2
London;3
Petunia;5
George;2
Arts;1
miserably;5
D'yeh;1
proudly;5
Neville;11
past;1
Quirrell;15
idly;5
Mars;2
Goyle;9
Longbottom;1
Red;1
really;1
Head;1
Lee;10
Filch;9
Severus;1
Sorcerer;2
Stone;13
Bill;1
Norbert;3
Charlie;2
Professor;20
timidly;8
You-Know-Who;6
Malfoy;11
darkly;8
Galleons;1
coldly;3
Gringotts;3
boy;2
Romania;1
Hagrid;74
last;1
Ron;58
Fluffy;1
Percy;9
Griphook;2
loudly;5
We'd;1
Slytherin;5
Cornelius;1
Pomfrey;3
quietly;8
Devil;2
Baron;1
suddenly;11
Knuts;1
He-Who-Must-Not-Be-Named;1
Hufflepuff;3
Lily;2
Snare...what;1
Monday;1
Firenze;4
quickly;3
breathlessly;3
Vernon;8
Uncle;18
Marge;2
way;1
He'd;1
Yeh;2
Dumbledore;23
Ridgeback;2
Dragon;1
Hags;4
Harry;89
Better;2
Night;1
Force;1
Cauldron;1
Wood;3
Miss;1
proof;1
Quidditch;3
Dursley;12
Agrippa;2
grumpily;8
Wizard;1
Father;1
dreamily;4
Weasley;8
Yeah...he;1
Mr.;3
Wizards;1
gloomily;3
mysteriously;1
again;4
Gryffindor;5
Diggle;4
Ministry;2
Bane;4
book;1
Snape;17
wantin;1
furiously;6
opposite;4
Wednesday;1
Hermione;34
letter;1
Flitwick;2
Scabbers;6
Hedwig;3
Mommy;1
briskly;9
Ollivander;1
