Name;Degree
Fang;2
Muggles;5
Dudley;9
earth;1
Body-Bind;1
Ravenclaw;1
needin;1
Lucky;1
Fred;3
Well...Voldemort;1
Hogwarts;4
Who'd;1
Magic;3
casually;9
Stalagmite;1
Voldemort;4
angrily;3
I'd;6
Aunt;7
Bott;1
Piers;2
always;2
anxiously;7
Potter;2
blankly;4
twice;4
softly;2
London;3
Petunia;5
Arts;1
miserably;5
D'yeh;1
proudly;5
Neville;11
past;1
Quirrell;15
idly;5
Mars;2
Goyle;6
Longbottom;1
Red;1
really;1
Head;1
Lee;9
Filch;9
Severus;1
Sorcerer;2
Stone;13
Norbert;3
Charlie;2
Professor;20
timidly;8
You-Know-Who;3
Malfoy;10
Galleons;1
coldly;3
Gringotts;3
Yeh;2
Hagrid;69
last;1
Ron;46
Fluffy;1
Percy;2
Griphook;2
loudly;5
We'd;1
Slytherin;4
Cornelius;1
Pomfrey;3
quietly;8
Devil;2
Baron;1
suddenly;11
Knuts;1
He-Who-Must-Not-Be-Named;1
Hufflepuff;3
Lily;2
Snare...what;1
Monday;1
Firenze;4
quickly;3
breathlessly;3
Vernon;8
Uncle;18
Marge;2
way;1
He'd;1
Ministry;2
Dumbledore;23
Ridgeback;2
Dragon;1
Hags;4
Harry;76
Better;2
Force;1
Cauldron;1
Wood;3
Miss;1
proof;1
Quidditch;3
Dursley;10
grumpily;8
Wizard;1
Father;1
dreamily;4
Weasley;8
Yeah...he;1
Mr.;3
Wizards;1
gloomily;3
mysteriously;1
Gryffindor;4
Diggle;4
Bane;4
book;1
Snape;17
wantin;1
furiously;6
Wednesday;1
Hermione;30
letter;1
Flitwick;2
Hedwig;3
Mommy;1
briskly;9
Ollivander;1
