Name;Degree
Dungbomb;1
Bogies;1
Treacle;1
Dundee;1
Sorcerer;2
Dad;9
Brown;10
sagely;9
pompously;17
Lucky;1
Award;1
W-what;1
smile;1
Day;1
very;4
Celebrity;1
Voldemort;20
Mrs.;8
I'd;32
Thomas;6
Pettigrew;19
blankly;8
Defense;3
team;1
Petunia;11
George;53
Levi-o-sa;1
Animagi;2
Merlin;1
Willow;4
uncomfortably;9
Charm;6
Weasley;64
past;3
R-Riddle;1
Invisibility;1
Butterbeer;1
Goyle;16
Moony;3
Red;1
Head;12
Gilderoy;1
Mudbloods;2
Ones;1
Bilius;1
ever;1
Grim;2
Neville;60
Gift;1
Charlie;4
Professor;126
never;5
here;3
Angelina;8
Mr;10
alone;2
darkly;9
boy;2
Bludger;7
Hagrid;135
Dean;25
Fawkes;4
Fluffy;1
Please...they;1
Percy;55
Griphook;2
spiritedly;9
Pomfrey;19
Devil;2
Parvati;15
family;1
suddenly;19
angrily;17
young;1
Nick;21
fearfully;2
Spinnet;1
Tom;7
doubtfully;9
Sh-she;1
It'd;3
Star;1
Express;1
June;1
They'd;2
Vernon;14
Hogwarts;14
seriously;1
Erised;1
disbelievingly;6
October;8
H-he;1
Ministry;11
grimly;9
Granger;6
envelope;4
Wednesday;1
Quaffle;5
sharply;18
enviously;6
Seamus;34
Madam;16
word;9
Bath;1
Tonight;1
fiercely;22
proof;1
Quidditch;9
Ernie;16
Wizard;2
Mr.;10
Wizards;2
Dippet;2
something;4
Lord;2
Lovely;4
Christmas;12
Gryffindor;23
Warrington;1
Millicent;5
scornfully;7
instead;1
furiously;12
Don;5
Mrs;12
Hermione;202
Hooch;22
Secret-Keeper;15
courteously;9
Dobby;33
Buckbeak;11
Myrtle;31
Eye;9
coolly;9
Shrivelfig;1
Lupin;73
Dudley;21
Cho;8
White;9
still;4
Rules;1
Know-Who;1
McGonagall;10
Fisheries;1
Macnair;1
Arithmancy;8
Who'd;1
Boggart;16
triumphantly;5
good;1
Stalagmite;1
Mother;1
not;1
Ern;9
desperately;5
always;2
reasonably;2
Potter;27
Squib;2
Weekly;1
Arts;1
anxiously;7
Snare...what;1
D'yeh;1
exasperated;11
Firebolt;5
Disapparated;1
really;2
Scabbers;21
No...you;1
hastily;6
Filch;30
Diggory;2
Class;1
Kep;10
Stone;13
Gawd;1
You-Know-Who;15
Zonko;1
Azkaban;4
Aragog;6
Firstly;5
Gringotts;3
thing;7
uncertainly;10
Mirror;2
Brazil;1
already;2
Beaters;2
delicately;6
Black;58
Firenze;4
He-Who-Must-Not-Be-Named;2
thoughtfully;21
Sirius;13
cheerfully;4
Minerva;1
truthfully;12
sadly;8
Monday;2
Parseltongue;4
Patil;8
Uncle;34
Marge;12
friend;4
Muggles;10
solemnly;3
Justin;10
Mortlake;1
happily;1
Ridgeback;2
delightedly;2
Diggle;5
Trelawney;10
idly;15
Colin;35
Fletcher;1
Peter;10
Dursleys;12
bet;1
Oliver;2
urgently;9
Father;3
gently;20
Wizardry;4
dreamily;4
He'd;9
Forge;1
Mail;1
Chaser;9
Power;1
Hannah;13
Alicia;5
Dementors;23
eagerly;2
Bane;4
Minister;5
tersely;9
Hall;21
opposite;4
headmaster;1
Solution;1
letter;1
nothing;8
Comet;1
Side;1
Tha;1
Chamber;9
Hedwig;7
Mommy;2
Hippogriff;15
Howler;2
briskly;12
Ollivander;1
Norris;6
Hogsmeade;11
thirteen-year-old;11
Shack;1
Hornby;1
earth;5
Wh-what;1
Hat;5
Fang;9
silkily;11
Fred;62
only;3
Parselmouth;8
excitedly;3
Snitch;6
heartily;11
Manticore;1
Dissendium;3
Magic;15
Animagus;3
nearly;4
Flamel;4
tonelessly;6
Lockhart;53
Menagerie;12
Malkin;1
keenly;9
tartly;9
Penny;5
Alley;2
twice;4
softly;5
Draco;3
Knuts;1
miserably;5
hoarsely;19
flatly;11
matter-of-factly;5
Marauder;6
defensively;12
Nimbus;5
away;1
O.W.L.s;1
weapons;1
hopefully;1
airily;15
stoutly;8
Patronus;4
Johnson;1
timidly;8
Malfoy;107
Galleons;2
Flobberworms;1
abruptly;12
Yeh;11
feeling;1
last;1
Parkinson;18
loudly;8
We'd;3
Slytherin;34
Cornelius;6
huffily;5
Mandrakes;8
wearily;4
Muggle;10
simply;4
Hufflepuff;11
Lily;2
patiently;9
Revealer;1
Remembrall;10
quickly;5
breathlessly;8
Protection;1
slowly;22
Ripper;3
Care;1
That'd;2
Dumbledore;101
She'd;1
Dragon;1
vaguely;4
You-Know-'Oo;1
Night;1
earnestly;5
Sir;16
Flich;5
Force;1
impatiently;9
Brutus;1
voice;15
Miss;4
Agrippa;2
Better;3
Yeah...he;1
Grindylow;12
Wood;59
Bludgers;1
stubbornly;11
Rosmerta;19
Albus;2
Snape;88
wantin;1
pal;1
Shoulda;8
Third;1
Crystal-gazing;1
Prophet;9
moment;12
student;1
jerkily;11
pleasantly;13
shortly;4
roughly;11
Perkins;1
Club;1
Finch-Fletchley;12
just;1
heavily;4
irritably;8
Body-Bind;1
Ravenclaw;11
needin;1
Wormtail;1
Well...Voldemort;1
other;1
Flint;20
dully;8
tremulously;10
Binky;2
Hermes;1
Padfoot;1
casually;12
James;13
Crookshanks;27
enthusiastically;8
Aunt;11
politely;6
Salazar;3
Bott;1
Piers;2
Penelope;4
Book;1
London;7
Time-Turner;2
Fubster;2
Little;1
Perry;11
smoothly;7
Creevey;1
Honeydukes;2
proudly;5
back;2
Mason;7
hair;1
Quirrell;15
hurriedly;13
Mars;2
Longbottom;3
Crabbe;18
Lee;34
normal;1
Severus;11
Prefects;1
Heaven;1
Norbert;11
Bill;4
Lucius;2
Whizzbees;1
Order;2
shakily;7
coldly;13
oo;1
Romania;1
You'd;8
Ron;269
Lavender;16
Powder;1
Committee;10
Hinkypunk;1
automatically;11
Katie;6
hotly;11
quietly;24
Baron;2
calmly;12
Beater;3
constantly;1
wonderingly;1
long;1
way;1
approvingly;3
Errol;6
bitterly;6
shrilly;4
Stan;15
Hags;4
Harry;319
nervously;5
Inee;6
Lacewing;1
Office;1
Century;1
House;2
Cauldron;1
Egypt;1
Kappas;1
cake;1
Master;2
brightly;3
Dursley;17
grumpily;9
mysteriously;1
Ginny;25
stiffly;11
again;13
dimly;13
Transfiguration;4
gloomily;5
book;1
suspiciously;11
Lady;16
Great;2
Hunt;4
faintly;10
Drive;5
Future;13
fervently;4
Flitwick;2
Fancy;1
time;4
Fame;1
Relief;13
