Name;Degree
Bogies;1
Fang;2
pompously;9
Muggles;7
Dudley;18
Dundee;1
Devil;2
earth;4
Hat;3
Body-Bind;1
Ravenclaw;3
needin;1
Dad;3
McGonagall;8
Lucky;1
Award;1
Fred;20
Well...Voldemort;1
Hogwarts;7
Flint;5
Lockhart;14
Granger;2
Snape;25
Who'd;1
Magic;3
casually;12
Stalagmite;1
Voldemort;11
Mrs.;1
angrily;3
I'd;13
Aunt;9
Salazar;1
Flamel;4
tonelessly;6
Bott;1
Piers;2
always;2
reasonably;2
anxiously;7
Potter;4
blankly;4
twice;4
Defense;1
London;3
team;1
Norris;1
Petunia;10
George;19
Levi-o-sa;1
Arts;1
miserably;5
D'yeh;1
proudly;5
Stone;13
Mason;1
past;2
R-Riddle;1
furiously;6
Quirrell;15
idly;5
Mars;2
Goyle;12
Longbottom;1
Red;1
really;1
Head;1
Lee;17
No...you;1
Nimbus;1
Filch;10
softly;2
Severus;2
letter;1
Sorcerer;2
airily;9
Neville;28
Heaven;1
Norbert;3
Charlie;4
Professor;51
Bill;4
You-Know-Who;8
Malfoy;37
darkly;9
Galleons;1
shakily;7
coldly;3
Gringotts;3
boy;2
Romania;1
Hagrid;89
last;1
You'd;2
Ron;96
Fawkes;1
Fluffy;1
Parkinson;7
Percy;28
Griphook;2
He-Who-Must-Not-Be-Named;1
loudly;8
We'd;1
Little;1
Slytherin;17
Cornelius;1
Pomfrey;5
quietly;8
already;1
Baron;2
Beaters;1
suddenly;12
Knuts;1
Nick;10
Muggle;1
Black;1
Spinnet;1
thoughtfully;13
Hufflepuff;7
Lily;2
Hooch;8
It'd;1
Snare...what;1
Monday;1
Parseltongue;1
Remembrall;10
Firenze;4
quickly;3
breathlessly;3
They'd;1
Vernon;10
Uncle;22
Marge;2
way;1
Erised;1
friend;2
calmly;6
He'd;8
only;1
Yeh;2
Errol;5
Snitch;2
Ridgeback;2
Dragon;1
Hags;4
Quaffle;2
sharply;4
Harry;133
Dean;4
Seamus;12
Better;2
Night;1
Force;1
Cauldron;1
Wood;29
timidly;8
Master;2
Miss;1
Dursleys;6
proof;1
Sir;1
Oliver;2
Quidditch;4
Dursley;17
Agrippa;2
grumpily;8
Wizard;2
Father;1
gently;20
dreamily;4
Weasley;34
Yeah...he;1
Mr.;3
Wizards;1
Bludgers;1
something;4
Forge;1
Chaser;9
mysteriously;1
Ginny;21
Christmas;2
again;4
Gryffindor;8
thing;7
Hannah;7
Diggle;5
Ministry;2
Bane;4
gloomily;3
book;1
Charm;1
wantin;1
Hall;5
Great;1
Dumbledore;58
Third;1
opposite;4
Mirror;2
dimly;13
Wednesday;1
Hermione;51
student;1
Transfiguration;1
Flitwick;2
Patil;7
pleasantly;13
Hedwig;3
Mommy;1
Fancy;1
Scabbers;6
Dobby;16
Myrtle;4
briskly;9
Ollivander;1
Relief;13
