Name;Degree
Bogies;1
Dean;9
Fang;2
Norris;6
coolly;3
Treacle;1
Muggles;7
thirteen-year-old;9
Dudley;20
Dundee;1
Devil;2
earth;5
still;1
Hat;4
Body-Bind;1
Ravenclaw;3
Sorcerer;2
Dad;5
Bane;4
sagely;9
Seamus;15
Know-Who;1
pompously;9
young;1
Award;1
Fred;25
Well...Voldemort;1
Hogwarts;8
Flint;14
Lockhart;44
excitedly;3
Granger;4
W-what;1
Snape;37
earnestly;5
Who'd;1
wantin;1
Magic;5
casually;12
Stalagmite;1
Celebrity;1
Voldemort;13
Mrs.;8
angrily;13
enthusiastically;5
I'd;16
Aunt;9
politely;6
Salazar;3
Flamel;4
tonelessly;6
Bott;1
Piers;2
desperately;5
always;2
reasonably;2
anxiously;7
Potter;8
Squib;2
blankly;4
twice;4
softly;2
London;3
team;1
Petunia;11
Draco;3
George;31
Levi-o-sa;1
Weekly;1
Arts;1
Perry;11
miserably;5
Willow;1
D'yeh;1
exasperated;11
proudly;5
Stone;13
Mason;7
past;2
R-Riddle;1
furiously;6
Quirrell;15
idly;5
flatly;11
Mars;2
Goyle;12
Longbottom;1
Red;1
really;2
Head;12
Lee;24
No...you;1
Nimbus;2
Mudbloods;1
Snare...what;1
Filch;19
Defense;1
Prophet;6
Severus;2
letter;1
needin;1
Mirror;2
airily;9
Neville;37
Heaven;1
Norbert;3
Charlie;4
Professor;66
Bill;4
You-Know-Who;10
here;1
darkly;9
Angelina;1
Malfoy;56
alone;2
Lucius;1
shakily;7
coldly;3
Gringotts;3
abruptly;8
McGonagall;8
Romania;1
Hagrid;99
last;1
You'd;2
Ron;145
Fawkes;1
Fluffy;1
Please...they;1
Parkinson;7
Percy;35
Griphook;2
He-Who-Must-Not-Be-Named;2
loudly;8
We'd;3
Little;1
Slytherin;21
Cornelius;1
book;1
automatically;11
Galleons;1
Brazil;1
Pomfrey;12
quietly;8
already;1
Baron;2
family;1
Mandrakes;7
suddenly;12
Mother;1
Yeh;2
Knuts;1
Lucky;1
Nick;20
Muggle;7
Black;1
Spinnet;1
thoughtfully;13
Hufflepuff;7
Lily;2
Hooch;10
It'd;2
patiently;9
Minerva;1
Monday;1
Parseltongue;3
wonderingly;1
Remembrall;10
Firenze;4
quickly;5
breathlessly;3
They'd;2
Vernon;10
Parselmouth;8
Uncle;26
Marge;2
way;1
Erised;1
slowly;4
pleasantly;13
friend;2
calmly;6
back;1
He'd;8
only;1
Justin;10
boy;2
Errol;5
Snitch;4
Ridgeback;2
Dragon;1
shrilly;4
heartily;11
Hags;4
Quaffle;2
sharply;13
Harry;187
nervously;5
enviously;6
Lacewing;1
never;1
Better;3
Night;1
Force;1
House;1
impatiently;9
hotly;11
Cauldron;1
Beaters;2
Colin;27
Wood;41
timidly;8
Master;2
voice;5
Miss;1
Dursleys;6
proof;1
Sir;11
Ones;1
Oliver;2
Quidditch;6
Dursley;17
Ernie;9
Agrippa;2
grumpily;8
Wizard;2
Father;1
gently;20
dreamily;4
Weasley;47
Yeah...he;1
Mr.;10
Wizards;1
Bludgers;1
something;4
stubbornly;4
Forge;1
Mail;1
Chaser;9
mysteriously;1
Ginny;21
Christmas;2
Albus;1
stiffly;9
again;7
Gryffindor;10
Power;1
thing;7
Hannah;13
Diggle;5
Ministry;4
Millicent;1
gloomily;3
other;1
Charm;3
Minister;1
suspiciously;11
Hall;12
Dobby;33
Great;2
Dumbledore;70
Third;1
opposite;4
Bludger;7
headmaster;1
Hunt;4
fiercely;10
dimly;13
Wednesday;1
Creevey;1
Hermione;93
student;1
nothing;8
Transfiguration;2
Flitwick;2
Patil;8
Gilderoy;1
hoarsely;9
Chamber;5
Hedwig;3
Mommy;2
Fancy;1
briskly;9
Club;1
Scabbers;6
faintly;5
Howler;2
Finch-Fletchley;12
Myrtle;22
Fame;1
Ollivander;1
Relief;13
