Key;Expressions
Bogies;the Bogies Quirrell
Dundee;Dundee
Sorcerer;the Sorcerer;the Sorcerer;the Sorcerer;Sorcerer;a Sorcerer;about the Sorcerer;the Sorcerer;the Sorcerer;the Sorcerer;a Sorcerer;the Sorcerer;twelve Sorcerer;twelve Sorcerer;The Sorcerer;the Sorcerer;the Sorcerer;Grand Sorc
Dad;Dad;Dad;Mom and Dad;Dad;Daddy;Daddy
Norris;Mrs. Norris;Mrs. Norris;Mrs. Norris;Filch or Mrs. Norris;Mrs. Norris;Mrs. Norris;Filch or Mrs. Norris;Filch or Mrs. Norris;Mrs. Norris;as Mrs. Norris;Mrs. Norris;Mrs. Norris;Mrs. Norris;Mrs. Norris
Lucky;Lucky;lucky Harry
Voldemort;Voldemort;Voldemort;Voldemort;Voldemort;last night Voldemort;Voldemort;Voldemort;my parents or Voldemort;Voldemort;Voldemort...and Voldemort;Voldemort;Voldemort;Voldemort;Voldemort;Voldemort;Voldemort;Voldemort;Voldemort;Voldemort;Voldemort;Lord Voldemort;Lord Voldemort;Voldemort;Voldemort;Voldemort;Voldemort;him Voldemort;Voldemort;one thing Voldemort;Voldemort;Voldemort;Voldemort;Voldemort certainly;Voldemort again;Vol;Vol;Vol;the house Vol;Vol;Vol;good Lord;Good Lord;Lord Voldemort;Lord Voldemort
Mrs.;Mr. and Mrs. Weasley;Mrs. Weasley;Mr. and Mrs. Dursley;Mrs. Dursley;Mrs. Dursley;Mrs. Dursley;Mrs. Dursley;Mrs. Dursley;Mrs. Dursley;Mrs. Dursley;beady-eyed Mrs. Dursley;Mrs. Dursley stiffly;Mr. and Mrs. Dursley;Mr. and Mrs. Dursley;Mr. and Mrs. Weasley
I'd;you I'd;I'd;I'd;I'd;I'd;I'd;I'd;I'd;I'd;a toad I'd;I'd;I'd;I'd;I'd;I'd;I'd;I'd;I'd;I'd;I'd;you I'd;I'd;I'd;I'd;I'd;I'd;some other things I'd;I'd not;I'd always
team;the best team Gryffindor
Petunia;Petunia;he and Petunia;he and Petunia;he and Petunia;he and Petunia;his Aunt Petunia;Aunt Petunia;Aunt Petunia;Aunt Petunia;Aunt Petunia;Aunt Petunia;Aunt Petunia;Aunt Petunia;Petunia;Aunt Petunia;Petunia;Aunt Petunia;Aunt Petunia;Aunt Petunia;Aunt Petunia;Aunt Petunia;Aunt Petunia;Aunt Petunia;Aunt Petunia;Aunt Petunia;Aunt Petunia;Aunt Petunia;Uncle Vernon and Aunt Petunia;Uncle Vernon and Aunt Petunia;Aunt Petunia often;Aunt Petunia frantically;Aunt Petunia and Dudley;Aunt Petunia suddenly;Aunt Petunia and Dudley;Aunt Petunia and Dudley
George;George;George;George;George;George;Fred and George;George;George;Fred and George;George;Fred and George;George;Fred and George;Fred and George;George;George;George;Percy chase Fred and George;George;Fred and George;Fred and George;Fred and George Weasley;Fred and George Weasley;Fred and George Weasley now;Fred or George Weasley;George Weasley;George Weasley really;George Weasley;your friends Misters Fred and George Weasley
Levi-o-sa;Wing-gar-dium Levi-o-sa
Weasley;Ron Weasley;Another Weasley;Mr. Weasley;Weasley;Fred Weasley;it and Fred Weasley;Mr. and Mrs. Weasley;Weasley;Weasley;Percy Weasley;Fred Weasley;Weasley;Weasley;Weasley;Weasley;Weasley;Mr. Ronald Weasley;Mrs. Weasley;Mrs. Weasley;Percy Weasley and Hermione;George Weasley really;Fred Weasley sadly;me all the Weasleys;two Weasleys;Harry and the Weasleys;The Weasleys;The Weasleys;the Weasleys;the Weasleys;The Weasleys;the Weasleys;the Weasleys;the Weasleys;all the Weasleys;the Weasleys;the Weasleys;Harry and the Weasleys
Diggle;Dedalus Diggle;Diggle;Dedalus Diggle;Dedalus Diggle;Dedalus Diggle
Goyle;Goyle;Crabbe and Goyle;Goyle;Goyle;Goyle;Goyle;Goyle;his friends Crabbe and Goyle;Goyle;Goyle;Crabbe and Goyle;Goyle;Goyle;Goyle;Crabbe and Goyle;Crabbe and Goyle;Crabbe and Goyle;Crabbe and Goyle;Crabbe and Goyle;Crabbe and Goyle;Goyle;Crabbe and Goyle;Goyle;Goyle;Crabbe and Goyle;Goyle;Crabbe;Draco Malfoy and his friends Crabbe;Crabbe;No Crabbe;Crabbe;Crabbe;Crabbe;Malfoy and Crabbe;Malfoy and Crabbe;Crabbe;Crabbe;Crabbe;Crabbe and Goyle;Crabbe and Malfoy;his friends Crabbe and Goyle;Crabbe and Goyle;Crabbe and Goyle;Crabbe and Goyle;Crabbe and Goyle;Crabbe and Goyle;Crabbe and Goyle;Crabbe and Goyle;Crabbe and Goyle;Crabbe and Goyle
Red;Red
Head;Head;Head;Deputy Headmistress
Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;All Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Hermione and Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;behind Neville;Neville;Neville;behind Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville;Neville blissfully;Neville suddenly;Mr. Neville Longbottom;Neville...it
Charlie;Bill and Charlie;boy and Charlie;Charlie;Charlie;yer brother Charlie;Hagrid all about Charlie;Charlie;Charlie;Charlie;Charlie;Charlie;the burns Charlie;Charlie;Charlie;Charlie;Charlie;Charlie;Charlie;Charlie;Charlie;Charlie;Charlie;Charlie;Charlie Weasley;Charlie Weasley
Professor;My dear Professor;Professor;Professor;Professor;Professor;Professor;Professor;Professor;Professor;Professor;Professor;Professor;Professor;Professor;Professor;Professor;Professor;Professor McGonagall irritably;Professor McGonagall faintly;Professor McGonagall grudgingly;Dumbledore and Professor McGonagall;Professor Vindictus Viridian;Professor McGonagall now;Professor Quirrell;Professor Quirrell;Professor Quirrell;Professor Quirrell;Professor Quirrell;Professor Quirrell;Professor Quirrell;Professor McGonagall;Professor McGonagall;Professor McGonagall;Professor McGonagall;Professor McGonagall;Professor McGonagall;Professor McGonagall crisply;Professor McGonagall;Professor McGonagall;Professor McGonagall;Professor McGonagall;Professor McGonagall;Professor McGonagall;Professor McGonagall;Professor Flitwick;Professor Flitwick;Professor Flitwick;Professor Quirrell;Professor McGonagall;Professor McGonagall;Professor McGonagall;Professor McGonagall;Professor McGonagall;Professor McGonagall;Professor McGonagall;Professor McGonagall;Professor McGonagall;Professor McGonagall;Professor McGonagall;Professor Dumbledore;Professor McGonagall;Professor McGonagall;Professor McGonagall and Professor Flitwick;Professor Flitwick;a joke Professor Flitwick;Professor McGonagall;Professor Dumbledore;Professor McGonagall;Professor Flitwick;Professor McGonagall;Professor Quirrell;Professor McGonagall;Professor McGonagall;Professor McGonagall;Professor McGonagall;Professor McGonagall;Professor McGonagall;Professor McGonagall;Professor McGonagall;Professor McGonagall;Professor McGonagall;Professor Flitwick;Professor McGonagall;Professor McGonagall;Professor Dumbledore;Professor Dumbledore;Professor McGonagall;Professor McGonagall;Professor Dumbledore;Professor Dumbledore;Professor Dumbledore;Professor Dumbledore;sure Professor McGonagall;Professor Flitwick;Professor Flitwick;Professor McGonagall;you and Professor Quirrell;Professor Quirrell;Professor Snape;Professor Snape;Professor Dumbledore;Professor Dumbledore;though in her opinion Professor Dumbledore;Professor McGonagall
boy;their compartment and the round-faced boy Harry
