Context;Start;End;
0;4;56
1;21;72
2;58;85
3;76;94
4;86;108
5;100;151
6;124;161
7;152;273
8;274;316
9;300;330
10;320;402
11;387;425
12;408;443
13;430;496
14;497;527
15;510;556
16;557;605
17;606;630
18;631;648
19;649;668
20;669;674
21;675;706
22;707;716
23;717;790
24;791;810
25;800;911
26;912;923
27;924;1029
28;1030;1158
29;1159;1162
30;1163;1186
31;1175;1261
32;1262;1294
33;1283;1326
34;1327;1415
35;1407;1472
36;1473;1495
37;1496;1532
38;1533;1560
39;1544;1603
40;1589;1785
41;1786;1829
42;1830;1832
43;1833;1957
44;1958;1992
45;1980;2020
46;2011;2030
47;2031;2063
48;2032;2064
49;2065;2141
50;2131;2242
51;2232;2243
52;2244;2287
53;2288;2304
54;2294;2325
55;2305;2339
56;2326;2357
57;2358;2448
58;2449;2454
59;2455;2472
60;2473;2498
61;2480;2508
62;2509;2603
63;2587;2631
64;2632;2673
65;2674;2736
66;2726;2801
67;2787;2826
68;2827;2847
69;2848;2887
70;2877;2934
71;2935;3013
72;3002;3067
73;3057;3111
74;3112;3139
75;3140;3161
76;3150;3182
77;3183;3193
78;3194;3255
79;3247;3287
80;3274;3326
81;3318;3363
82;3364;3385
83;3372;3426
84;3417;3438
85;3430;3442
86;3443;3469
87;3459;3506
88;3507;3533
89;3534;3602
90;3569;3640
91;3605;3650
92;3651;3664
93;3665;3707
94;3708;3720
95;3721;3761
96;3762;3780
97;3769;3850
98;3851;3856
99;3857;3870
100;3871;3929
101;3930;3972
102;3973;3987
103;3988;4034
104;4035;4078
105;4079;4109
106;4098;4122
107;4123;4144
108;4145;4169
109;4170;4174
110;4175;4190
111;4191;4198
112;4199;4234
113;4224;4240
114;4241;4280
115;4281;4309
116;4300;4322
117;4313;4341
118;4342;4479
119;4469;4495
120;4486;4506
121;4496;4554
122;4555;4581
123;4582;4719
124;4720;4936
125;4928;4996
126;4988;5033
127;5034;5081
128;5082;5153
129;5142;5179
130;5169;5213
131;5214;5290
132;5291;5320
133;5321;5353
134;5354;5402
135;5403;5441
