Node 1;Node 2;Weight;Mentions
Ron;heartily;0.339285714286;4
Ron;Percy;0.5;1
Ron;Diggory;0.5;1
Ron;Malfoy;0.3;2
Ron;Harry;0.1;5
Snitch;Harry;0.0;1
Firebolt;Diggory;0.5;1
Malfoy;heartily;0.239285714286;4
Malfoy;Percy;0.1;1
Malfoy;Diggory;0.1;1
Malfoy;Ron;0.3;2
Malfoy;Harry;0.02;5
Percy;heartily;0.285714285714;3
Percy;Malfoy;0.1;1
Percy;Galleons;0.541666666667;1
Percy;Ron;0.5;1
Percy;Harry;0.0;4
Diggory;heartily;0.285714285714;3
Diggory;Malfoy;0.1;1
Diggory;Firebolt;0.5;1
Diggory;Ron;0.5;1
Diggory;Harry;0.0;4
Galleons;Percy;0.541666666667;1
Harry;Ron;0.1;5
Harry;Malfoy;0.02;5
Harry;Percy;0.0;4
Harry;Diggory;0.0;4
Harry;Snitch;0.0;1
Harry;heartily;0.122448979592;7
heartily;Percy;0.285714285714;3
heartily;Diggory;0.285714285714;3
heartily;Malfoy;0.239285714286;4
heartily;Ron;0.339285714286;4
heartily;Harry;0.122448979592;7
