Node 1;Node 2;Weight;Mentions
Dumbledore;Mr;-0.166666666667;1
Scabbers;Black;0.0;1
Ron;Weasley;0.0;1
Ministry;Weasley;-0.2;1
Prophet;Weasley;-0.0477272727273;1
Harry;Percy;0.25;2
Harry;Weasley;0.10873015873;3
Weasley;Ron;0.0;1
Weasley;Ministry;-0.2;1
Weasley;Prophet;-0.0477272727273;1
Weasley;Mr;0.200595238095;4
Weasley;Percy;0.0646103896104;11
Weasley;Black;0.118418310085;9
Weasley;Harry;0.10873015873;3
Weasley;Albus;0.285714285714;1
Azkaban;Percy;0.111111111111;1
Azkaban;Black;0.166666666667;1
Percy;Harry;0.25;2
Percy;Black;-0.0258333333333;10
Percy;Weasley;0.0646103896104;11
Percy;Azkaban;0.111111111111;1
Percy;Mr;-0.0130952380952;7
Black;Percy;-0.0258333333333;10
Black;Scabbers;0.0;1
Black;Azkaban;0.166666666667;1
Black;Weasley;0.118418310085;9
Black;Mr;-0.0555555555556;3
Mr;Percy;-0.0130952380952;7
Mr;Dumbledore;-0.166666666667;1
Mr;Black;-0.0555555555556;3
Mr;Weasley;0.200595238095;4
Albus;Weasley;0.285714285714;1
