Node 1;Node 2;Weight;Mentions
Dumbledore;Hermione;0.0;1
Scabbers;Ron;0.0;1
Ron;Scabbers;0.0;1
Ron;coolly;-0.3125;2
Ron;Lupin;-0.0252976190476;21
Ron;Black;-0.225;5
Ron;Hermione;-0.0753306878307;21
Ron;Harry;-0.078125;8
Hagrid;Lupin;0.151428571429;2
coolly;Ron;-0.3125;2
coolly;Lupin;-0.0138392857143;18
coolly;Black;-0.166666666667;3
coolly;Hermione;-0.050365497076;19
coolly;Harry;0.0;6
coolly;Boggart;0.183333333333;1
James;Hermione;0.0;1
Professor;Hermione;0.0;1
Lupin;Hagrid;0.151428571429;2
Lupin;Ron;-0.0252976190476;21
Lupin;coolly;-0.0138392857143;18
Lupin;Moony;0.0;1
Lupin;Willow;0.0166666666667;1
Lupin;Black;-0.0332927489177;22
Lupin;Hermione;-0.032595988846;37
Lupin;Harry;-0.0103794642857;24
Lupin;Sirius;-0.236666666667;3
Boggart;coolly;0.183333333333;1
Moony;Lupin;0.0;1
Willow;Lupin;0.0166666666667;1
I'd;Hermione;0.0;1
Black;coolly;-0.166666666667;3
Black;Lupin;-0.0332927489177;22
Black;Hermione;-0.0663647342995;23
Black;Ron;-0.225;5
Black;Harry;-0.0555555555556;9
Hermione;Dumbledore;0.0;1
Hermione;Ron;-0.0753306878307;21
Hermione;coolly;-0.050365497076;19
Hermione;James;0.0;1
Hermione;Professor;0.0;1
Hermione;Lupin;-0.032595988846;37
Hermione;I'd;0.0;1
Hermione;Black;-0.0663647342995;23
Hermione;Harry;-0.0382777777778;25
Harry;coolly;0.0;6
Harry;Lupin;-0.0103794642857;24
Harry;Black;-0.0555555555556;9
Harry;Hermione;-0.0382777777778;25
Harry;Ron;-0.078125;8
Sirius;Lupin;-0.236666666667;3
