Node 1;Node 2;Weight;Mentions
Lupin;Eye;0.4;1
Lupin;Ron;0.151862674363;11
Lupin;tartly;0.6;2
Lupin;Professor;0.0717923280423;12
Lupin;Dumbledore;0.23125;4
Lupin;Snape;0.2;2
Lupin;Hermione;0.366666666667;2
Lupin;Severus;0.2;2
Lupin;coldly;0.165625;2
Eye;Lupin;0.4;1
Eye;Ron;0.14713771311;9
Eye;tartly;0.8;1
Eye;Professor;0.0592923280423;12
Eye;Dumbledore;0.175;3
Eye;Snape;0.0;1
Eye;Hermione;0.333333333333;1
Eye;Severus;0.0;1
Eye;coldly;-0.06875;1
Ron;Lupin;0.151862674363;11
Ron;Eye;0.14713771311;9
Ron;tartly;0.212423941799;10
Ron;Professor;0.0892873677249;20
Ron;Dumbledore;0.154103284832;12
Ron;Snape;0.132423941799;10
Ron;Hermione;0.165757275132;10
Ron;Severus;0.132423941799;10
Ron;coldly;0.125548941799;10
tartly;Dumbledore;0.33125;4
tartly;Eye;0.8;1
tartly;Ron;0.212423941799;10
tartly;Professor;0.105125661376;12
tartly;Lupin;0.6;2
tartly;Snape;0.4;2
tartly;Hermione;0.566666666667;2
tartly;Severus;0.4;2
tartly;coldly;0.365625;2
Professor;Lupin;0.0717923280423;12
Professor;Eye;0.0592923280423;12
Professor;Ron;0.0892873677249;20
Professor;tartly;0.105125661376;12
Professor;Dumbledore;0.0704648526077;14
Professor;Snape;0.038458994709;12
Professor;Hermione;0.0662367724868;12
Professor;Severus;0.038458994709;12
Professor;coldly;0.0327298280423;12
Dumbledore;Eye;0.175;3
Dumbledore;Ron;0.154103284832;12
Dumbledore;tartly;0.33125;4
Dumbledore;Professor;0.0704648526077;14
Dumbledore;Lupin;0.23125;4
Dumbledore;Snape;0.13125;4
Dumbledore;Hermione;0.214583333333;4
Dumbledore;Severus;0.13125;4
Dumbledore;coldly;0.1140625;4
Snape;Lupin;0.2;2
Snape;Eye;0.0;1
Snape;Ron;0.132423941799;10
Snape;tartly;0.4;2
Snape;Professor;0.038458994709;12
Snape;Dumbledore;0.13125;4
Snape;Hermione;0.166666666667;2
Snape;Severus;0.0;2
Snape;coldly;-0.034375;2
Hermione;Lupin;0.366666666667;2
Hermione;Eye;0.333333333333;1
Hermione;Ron;0.165757275132;10
Hermione;tartly;0.566666666667;2
Hermione;Professor;0.0662367724868;12
Hermione;Dumbledore;0.214583333333;4
Hermione;Snape;0.166666666667;2
Hermione;Severus;0.166666666667;2
Hermione;coldly;0.132291666667;2
Severus;Lupin;0.2;2
Severus;Eye;0.0;1
Severus;Ron;0.132423941799;10
Severus;tartly;0.4;2
Severus;Professor;0.038458994709;12
Severus;Dumbledore;0.13125;4
Severus;Snape;0.0;2
Severus;Hermione;0.166666666667;2
Severus;coldly;-0.034375;2
coldly;Lupin;0.165625;2
coldly;Eye;-0.06875;1
coldly;Ron;0.125548941799;10
coldly;tartly;0.365625;2
coldly;Professor;0.0327298280423;12
coldly;Dumbledore;0.1140625;4
coldly;Snape;-0.034375;2
coldly;Hermione;0.132291666667;2
coldly;Severus;-0.034375;2
