Node 1;Node 2;Weight;Mentions
Dad;George;-0.133333333333;1
Ron;Harry;0.0443056993329;23
Ron;Fred;-0.0239427175191;18
Ron;Hermione;0.00528679198187;33
Ron;Parkinson;-0.0194687597261;17
Ron;George;-0.015505540999;19
happily;Fred;0.225;1
Dementors;Hermione;-0.135763888889;1
Dementors;Parkinson;0.0;1
Parkinson;Ron;-0.0194687597261;17
Parkinson;Dementors;0.0;1
Parkinson;Fred;-0.1;1
Parkinson;Hermione;0.0315895656716;16
Parkinson;Harry;0.225;6
Parkinson;George;0.0181818181818;2
Fred;Ron;-0.0239427175191;18
Fred;happily;0.225;1
Fred;Parkinson;-0.1;1
Fred;Hermione;0.023849002985;17
Fred;Harry;0.178571428571;7
Fred;George;-0.0212121212121;3
Hermione;Ron;0.00528679198187;33
Hermione;Dementors;-0.135763888889;1
Hermione;Parkinson;0.0315895656716;16
Hermione;Fred;0.023849002985;17
Hermione;Harry;0.084337865943;22
Hermione;George;0.0300998159505;18
Harry;Parkinson;0.225;6
Harry;Fred;0.178571428571;7
Harry;Hermione;0.084337865943;22
Harry;Ron;0.0443056993329;23
Harry;George;0.173295454545;8
George;Dad;-0.133333333333;1
George;Ron;-0.015505540999;19
George;Parkinson;0.0181818181818;2
George;Fred;-0.0212121212121;3
George;Hermione;0.0300998159505;18
George;Harry;0.173295454545;8
