Node 1;Node 2;Weight;Mentions
I'd;Hermione;0.207142857143;1
never;Hermione;0.207142857143;1
Dean;Ron;0.0;5
Dean;Professor;-0.115625;4
Dean;Percy;0.338541666667;3
Dean;Hermione;0.216666666667;2
Dean;Hufflepuff;0.0;2
Dean;Ravenclaw;-0.15;2
Ron;Dean;0.0;5
Ron;Professor;-0.0660714285714;7
Ron;Dumbledore;0.0;1
Ron;Percy;0.169270833333;6
Ron;Hermione;0.0866666666667;5
Ron;Hufflepuff;0.0;5
Ron;Hall;0.0;1
Ron;Ravenclaw;-0.06;5
Professor;Dean;-0.115625;4
Professor;Ron;-0.0660714285714;7
Professor;Percy;0.110625;5
Professor;Hogwarts;0.0;1
Professor;Prefects;0.22;1
Professor;Hermione;-0.00729166666667;4
Professor;Black;-0.166666666667;1
Professor;Hufflepuff;-0.115625;4
Professor;Ravenclaw;-0.190625;4
Dumbledore;Ron;0.0;1
Dementors;Hermione;0.207142857143;1
Percy;Dean;0.338541666667;3
Percy;Ron;0.169270833333;6
Percy;Professor;0.110625;5
Percy;Hermione;0.482986111111;3
Percy;Hufflepuff;0.338541666667;3
Percy;Ravenclaw;0.238541666667;3
Filch;Hermione;0.207142857143;1
Hogwarts;Professor;0.0;1
Prefects;Professor;0.22;1
Hermione;Dean;0.216666666667;2
Hermione;Ron;0.0866666666667;5
Hermione;Professor;-0.00729166666667;4
Hermione;never;0.207142857143;1
Hermione;Dementors;0.207142857143;1
Hermione;Percy;0.482986111111;3
Hermione;Filch;0.207142857143;1
Hermione;I'd;0.207142857143;1
Hermione;Hufflepuff;0.216666666667;2
Hermione;Ravenclaw;0.0666666666667;2
Black;Professor;-0.166666666667;1
Hufflepuff;Dean;0.0;2
Hufflepuff;Ron;0.0;5
Hufflepuff;Professor;-0.115625;4
Hufflepuff;Percy;0.338541666667;3
Hufflepuff;Hermione;0.216666666667;2
Hufflepuff;Ravenclaw;-0.15;2
Hall;Ron;0.0;1
Ravenclaw;Dean;-0.15;2
Ravenclaw;Ron;-0.06;5
Ravenclaw;Professor;-0.190625;4
Ravenclaw;Percy;0.238541666667;3
Ravenclaw;Hermione;0.0666666666667;2
Ravenclaw;Hufflepuff;-0.15;2
