Node 1;Node 2;Weight;Mentions
Norris;Nick;0.125340136054;7
Norris;excitedly;0.1125;4
Norris;Harry;0.146428571429;8
Hunt;Harry;0.0;1
Weasley;Nick;0.286111111111;1
Nick;Norris;0.125340136054;7
Nick;Weasley;0.286111111111;1
Nick;excitedly;0.069708994709;9
Nick;Harry;0.103754578755;13
excitedly;Nick;0.069708994709;9
excitedly;Norris;0.1125;4
excitedly;Harry;0.0921428571429;10
Harry;Nick;0.103754578755;13
Harry;Hunt;0.0;1
Harry;Hall;0.0;1
Harry;excitedly;0.0921428571429;10
Harry;Norris;0.146428571429;8
Hall;Harry;0.0;1
