Node 1;Node 2;Weight;Mentions
Brazil;Lockhart;0.0;1
wonderingly;Ron;-0.5;1
Neville;Ron;-0.113333333333;4
Neville;Malfoy;-0.075;2
Neville;Parselmouth;-0.15;1
Neville;Snape;-0.130144557823;7
Neville;Hermione;-0.0519841269841;3
Neville;Harry;0.0154468599034;23
Neville;Lockhart;-0.0237973484848;22
Hunt;Lockhart;-0.05;1
Justin;Lockhart;-0.05;1
Justin;Harry;-0.333333333333;1
Ron;wonderingly;-0.5;1
Ron;Neville;-0.113333333333;4
Ron;Parseltongue;-0.5;1
Ron;Malfoy;-0.0758333333333;4
Ron;Parselmouth;-0.0606666666667;5
Ron;Snape;-0.118260582011;9
Ron;Hermione;-0.0618571428571;5
Ron;Harry;0.00807777777778;25
Ron;Lockhart;-0.028203125;24
I'd;Lockhart;0.5;1
Salazar;Hermione;0.333333333333;1
Dumbledore;Harry;0.0541666666667;1
Malfoy;Neville;-0.075;2
Malfoy;Ron;-0.0758333333333;4
Malfoy;Parselmouth;0.0;1
Malfoy;Snape;-0.108715986395;7
Malfoy;Hermione;-0.00198412698413;3
Malfoy;Harry;0.0219685990338;23
Malfoy;Lockhart;-0.0169791666667;22
Millicent;Snape;0.5;1
Parseltongue;Ron;-0.5;1
Parselmouth;Neville;-0.15;1
Parselmouth;Ron;-0.0606666666667;5
Parselmouth;Malfoy;0.0;1
Parselmouth;Snape;-0.12683531746;6
Parselmouth;Hermione;-0.00297619047619;2
Parselmouth;Harry;0.0229671717172;22
Parselmouth;Lockhart;-0.0177876984127;21
Snape;Neville;-0.130144557823;7
Snape;Ron;-0.118260582011;9
Snape;Malfoy;-0.108715986395;7
Snape;Millicent;0.5;1
Snape;Parselmouth;-0.12683531746;6
Snape;Hermione;-0.0958705357143;8
Snape;Harry;-0.009133361678;28
Snape;Lockhart;-0.0420205026455;27
Hermione;Neville;-0.0519841269841;3
Hermione;Ron;-0.0618571428571;5
Hermione;Salazar;0.333333333333;1
Hermione;Malfoy;-0.00198412698413;3
Hermione;Parselmouth;-0.00297619047619;2
Hermione;Snape;-0.0958705357143;8
Hermione;Harry;0.0208052248677;24
Hermione;Flitwick;0.1;1
Hermione;Lockhart;-0.0164997412008;23
Harry;Neville;0.0154468599034;23
Harry;Justin;-0.333333333333;1
Harry;Ron;0.00807777777778;25
Harry;Dumbledore;0.0541666666667;1
Harry;Malfoy;0.0219685990338;23
Harry;Parselmouth;0.0229671717172;22
Harry;Snape;-0.009133361678;28
Harry;Hermione;0.0208052248677;24
Harry;Charm;0.286666666667;1
Harry;Seamus;0.0;1
Harry;other;0.2625;1
Harry;Lockhart;0.00306363049096;43
Charm;Harry;0.286666666667;1
Flitwick;Hermione;0.1;1
Seamus;Harry;0.0;1
other;Harry;0.2625;1
Lockhart;Brazil;0.0;1
Lockhart;Neville;-0.0237973484848;22
Lockhart;Justin;-0.05;1
Lockhart;Ron;-0.028203125;24
Lockhart;I'd;0.5;1
Lockhart;Hunt;-0.05;1
Lockhart;Malfoy;-0.0169791666667;22
Lockhart;Parselmouth;-0.0177876984127;21
Lockhart;Snape;-0.0420205026455;27
Lockhart;Hermione;-0.0164997412008;23
Lockhart;Harry;0.00306363049096;43
