Name;Degree
already;1
miserably;2
family;1
Dursleys;6
coolly;3
thirteen-year-old;10
Dudley;9
Mason;7
Better;1
Mr.;9
Muggle;3
Dobby;13
still;1
Ginny;4
Dad;4
again;5
Gryffindor;1
sagely;9
Gilderoy;1
Power;1
Nimbus;1
Mortlake;1
young;1
Fred;20
voice;5
Vernon;6
Hogwarts;2
Uncle;16
Minister;1
Errol;5
W-what;1
Snape;5
earnestly;5
Hermes;1
headmaster;1
Fletcher;1
Neville;9
Dumbledore;10
Third;1
Ministry;3
Petunia;8
Prophet;6
grimly;0
Bill;1
You-Know-Who;1
Voldemort;1
Mrs.;7
Weasley;20
enthusiastically;5
I'd;1
Aunt;6
here;1
politely;6
Harry;43
enviously;6
tonelessly;6
Lockhart;8
Lee;9
Yeh;1
Hagrid;12
Dean;9
You'd;1
Ron;38
impatiently;9
Hedwig;1
House;1
Please...they;1
Potter;2
Perkins;1
Percy;5
Malfoy;14
We'd;1
Committee;1
Professor;10
Care;1
Draco;2
George;12
Hermione;7
