Name;Degree
;0
Norris;6
coolly;3
Treacle;1
Salazar;1
thirteen-year-old;10
Dudley;9
earth;1
still;1
Hat;1
Dad;4
sagely;9
Seamus;3
Beaters;1
young;1
Fred;25
Hogwarts;3
Flint;12
excitedly;3
Granger;2
W-what;1
Snape;12
earnestly;5
Hermes;1
Magic;3
Celebrity;1
Voldemort;1
Mrs.;7
enthusiastically;5
I'd;6
Aunt;6
politely;6
Mother;1
tonelessly;6
Lockhart;29
desperately;5
Potter;3
Squib;2
Petunia;8
Draco;3
George;27
Weekly;1
Perry;11
miserably;2
Willow;1
exasperated;11
Weasley;28
Mason;7
hoarsely;9
flatly;11
Head;12
Gilderoy;1
Nimbus;2
Mudbloods;1
Filch;14
Ones;1
Neville;11
Professor;29
Bill;2
You-Know-Who;2
Malfoy;26
Lucius;1
Angelina;1
here;1
alone;2
abruptly;8
Yeh;1
Bludger;6
Hagrid;20
Dean;9
You'd;1
Ron;84
impatiently;9
Please...they;1
Percy;15
We'd;2
Committee;1
Slytherin;7
automatically;11
hotly;11
already;1
family;1
Mandrakes;7
angrily;11
Nick;13
Muggle;4
It'd;1
patiently;9
quickly;3
They'd;1
Vernon;6
Uncle;16
slowly;4
Care;1
Justin;3
Ministry;3
Errol;5
grimly;0
Snitch;2
back;1
shrilly;4
heartily;11
sharply;11
Harry;87
nervously;5
enviously;6
Lacewing;1
House;1
Colin;27
Fletcher;1
voice;5
Dursleys;6
Sir;10
Quidditch;4
Better;2
Mr.;9
Wood;16
Mail;1
Ginny;5
stiffly;9
again;5
Gryffindor;1
Power;1
Creevey;1
Mortlake;1
Charm;1
Minister;1
suspiciously;11
Hall;9
Howler;2
Dumbledore;17
Third;1
Prophet;6
headmaster;1
Hunt;3
faintly;5
Hermione;54
nothing;8
Hooch;2
Patil;3
Lee;14
Chamber;4
Hedwig;1
Mommy;1
Perkins;1
Dobby;13
Finch-Fletchley;12
Myrtle;20
Fame;1
