Node 1;Node 2;Weight;Mentions
Norris;Ron;0.25;2
Norris;Nick;0.125340136054;7
Norris;Hermione;0.0;1
Norris;excitedly;0.1125;4
Norris;Harry;0.146428571429;8
Norris;patiently;0.425;1
coolly;Better;0.5;1
coolly;Dudley;0.0408163265306;7
coolly;Harry;0.166666666667;6
Treacle;Hagrid;0.0;1
Salazar;Ron;-0.05;1
thirteen-year-old;Neville;0.4625;2
thirteen-year-old;sagely;0.245833333333;2
thirteen-year-old;Dean;0.3375;2
thirteen-year-old;Lee;0.305357142857;2
thirteen-year-old;Ron;0.134848484848;13
thirteen-year-old;impatiently;0.1625;2
thirteen-year-old;Professor;0.158333333333;9
thirteen-year-old;Dumbledore;0.08125;4
thirteen-year-old;Fred;0.3;1
thirteen-year-old;Harry;0.0930555555556;15
Dudley;Dad;0.0;1
Dudley;coolly;0.0408163265306;7
Dudley;Vernon;0.146428571429;4
Dudley;Aunt;0.346428571429;4
Dudley;Harry;1.17255070008;11
Dudley;Uncle;0.205862244898;10
Dudley;Petunia;0.146428571429;4
Dudley;tonelessly;0.146428571429;4
Dudley;Dursleys;0.5;1
earth;Harry;0.0;1
still;Malfoy;0.112662337662;1
Hat;Ron;-0.05;1
Dad;George;0.0;2
Dad;Dudley;0.0;1
Dad;Ron;-0.383102272727;6
Dad;Fred;0.047619047619;2
sagely;Neville;0.383333333333;2
sagely;Dean;0.258333333333;2
sagely;Lee;0.22619047619;2
sagely;Ron;0.122668997669;13
sagely;impatiently;0.0833333333333;2
sagely;Professor;0.140740740741;9
sagely;Dumbledore;0.0416666666667;4
sagely;thirteen-year-old;0.245833333333;2
sagely;Harry;0.0825;15
Beaters;Harry;-0.5;1
young;Lockhart;0.288461538462;1
Fred;Dad;0.047619047619;2
Fred;Errol;-0.133333333333;2
Fred;already;-0.2;1
Fred;Ron;-0.378360949002;86
Fred;Ministry;0.1125;1
Fred;Prophet;0.333333333333;1
Fred;Malfoy;0.178884548611;12
Fred;You-Know-Who;0.0952380952381;1
Fred;Weasley;0.398398351717;52
Fred;thirteen-year-old;0.3;1
Fred;George;0.164454373244;55
Fred;Percy;0.25;2
Fred;Hogwarts;0.1125;1
Fred;Uncle;0.0847719060524;41
Fred;Mrs.;0.321130952381;3
Fred;Harry;1.0770053011;53
Fred;Hagrid;1.0;1
Fred;Dursleys;0.1125;1
Fred;Lockhart;0.36;2
Fred;Hermione;-0.0703125;1
Hogwarts;Hermione;0.3;1
Hogwarts;Ron;0.5;1
Hogwarts;Fred;0.1125;1
Flint;sharply;0.0517509276438;7
Flint;Ron;0.0506392045455;8
Flint;exasperated;0.0578733766234;7
Flint;Malfoy;0.0773538961039;7
Flint;Colin;0.149385054246;9
Flint;Wood;0.0682320202584;32
Flint;Hermione;0.124756493506;7
Flint;flatly;0.0221590909091;7
Flint;Harry;0.019622859025;23
Flint;heartily;0.0703192640693;7
Flint;Draco;0.3875;1
Flint;George;0.0506392045455;8
excitedly;Nick;0.069708994709;9
excitedly;Norris;0.1125;4
excitedly;Harry;0.0921428571429;10
Granger;Myrtle;0.0;1
Granger;Ron;-0.1625;1
W-what;Weasley;0.0;1
earnestly;Mason;0.2;1
earnestly;Uncle;-0.0578125;8
earnestly;Dobby;-0.114794146825;18
earnestly;politely;-0.155555555556;1
earnestly;Harry;0.0469093406593;26
Hermes;Ron;0.25;1
Magic;Professor;0.0125;1
Magic;Dumbledore;0.25;1
Magic;Patil;0.116666666667;1
Celebrity;Hagrid;0.0;1
Voldemort;Malfoy;0.0966666666667;1
Mrs.;Hagrid;0.100231481481;12
Mrs.;Ron;0.0643312682216;8
Mrs.;Weasley;0.118139648438;9
Mrs.;Fred;0.321130952381;3
Mrs.;Mr.;0.1;2
Mrs.;Harry;0.0685287878788;6
Mrs.;enviously;0.1;2
enthusiastically;again;0.16875;2
enthusiastically;Prophet;-0.15625;2
enthusiastically;Snape;-0.0304166666667;10
enthusiastically;Ron;0.0732341269841;6
enthusiastically;Harry;-0.1265625;4
I'd;Head;0.25;1
I'd;Hagrid;0.0;2
I'd;Justin;0.516666666667;1
I'd;Ron;-0.05;1
I'd;Harry;0.353515625;1
I'd;Lockhart;0.219795209751;1
Aunt;Dudley;0.346428571429;4
Aunt;Vernon;0.4;2
Aunt;Uncle;0.374583333333;12
Aunt;Harry;0.232614087302;9
Aunt;Petunia;0.4;2
Aunt;tonelessly;0.4;2
politely;Mason;0.0222222222222;2
politely;Uncle;-0.0686728395062;9
politely;Dobby;-0.0956583443563;18
politely;Harry;0.0394106407995;27
politely;earnestly;-0.155555555556;1
politely;voice;-0.155555555556;1
Mother;Hermione;-0.0263888888889;1
tonelessly;Dudley;0.146428571429;4
tonelessly;Vernon;0.0;2
tonelessly;Aunt;0.4;2
tonelessly;Harry;0.143725198413;9
tonelessly;Uncle;0.307916666667;12
tonelessly;Petunia;0.0;2
Lockhart;Sir;0.0;2
Lockhart;Mandrakes;0.0;1
Lockhart;Weasley;0.19;9
Lockhart;Nick;0.26;3
Lockhart;hoarsely;0.12890625;4
Lockhart;patiently;0.0708333333333;3
Lockhart;stiffly;0.4;2
Lockhart;Head;-0.0291666666667;2
Lockhart;young;0.288461538462;1
Lockhart;Fred;0.36;2
Lockhart;Filch;-0.000297619047619;6
Lockhart;Snape;0.0659722222222;6
Lockhart;Hall;0.0;2
Lockhart;Professor;0.16791547987;15
Lockhart;Dumbledore;0.0425;5
Lockhart;Malfoy;0.142283359646;14
Lockhart;angrily;-0.0496794871795;13
Lockhart;I'd;0.219795209751;1
Lockhart;Hermione;0.302424692374;8
Lockhart;Harry;0.13160587764;9
Lockhart;nothing;0.196875;4
Lockhart;abruptly;0.103125;5
Lockhart;Hagrid;0.271374503968;3
Lockhart;Ron;0.412374446176;11
Lockhart;Colin;0.100069444444;16
Lockhart;Myrtle;0.0;1
desperately;Filch;0.266666666667;3
desperately;Professor;-0.00555555555556;3
desperately;Hermione;0.0166666666667;6
desperately;Ron;0.0285714285714;7
desperately;Harry;0.0203703703704;3
Potter;Professor;-0.25;1
Potter;Dobby;0.0;1
Potter;Harry;0.366326530612;2
Squib;Filch;0.134375;2
Squib;Harry;0.25;1
Petunia;Dudley;0.146428571429;4
Petunia;Mason;0.0;1
Petunia;Vernon;0.0;2
Petunia;Uncle;0.258697916667;9
Petunia;Harry;0.11912202381;10
Petunia;Aunt;0.4;2
Petunia;tonelessly;0.0;2
Petunia;Dursleys;-0.25;2
Draco;Mr.;0.232265406162;17
Draco;Flint;0.3875;1
Draco;Malfoy;0.136734693878;14
George;exasperated;0.0;3
George;Weasley;0.159191135293;24
George;Wood;0.063511107568;28
George;flatly;-0.0833333333333;3
George;Ginny;0.0;1
George;Dad;0.0;2
George;Fred;0.164454373244;55
George;Uncle;0.123478835979;15
George;heartily;0.0290404040404;3
George;Flint;0.0506392045455;8
