Node 1;Node 2;Weight;Mentions
just;Professor;0.245;1
Norris;Ron;0.25;2
Norris;Nick;0.125340136054;7
Norris;Hermione;0.0;1
Norris;excitedly;0.1125;4
Norris;Harry;0.00225;10
Norris;patiently;0.425;1
coolly;Better;0.5;1
coolly;Dudley;0.0408163265306;7
coolly;Harry;0.166666666667;6
Treacle;Hagrid;0.0;1
Salazar;Dumbledore;0.426071428571;1
Salazar;Hermione;0.333333333333;1
Salazar;Ron;-0.05;1
thirteen-year-old;Neville;0.4625;2
thirteen-year-old;sagely;0.245833333333;2
thirteen-year-old;Dean;0.3375;2
thirteen-year-old;Lee;0.305357142857;2
thirteen-year-old;Ron;0.345361305361;14
thirteen-year-old;impatiently;0.1625;2
thirteen-year-old;Professor;0.158333333333;9
thirteen-year-old;Dumbledore;0.08125;4
thirteen-year-old;Malfoy;-0.126666666667;1
thirteen-year-old;Fred;0.3;1
thirteen-year-old;Harry;0.0930555555556;15
Dudley;Dad;0.0;1
Dudley;coolly;0.0408163265306;7
Dudley;Vernon;0.146428571429;4
Dudley;Aunt;0.346428571429;4
Dudley;Harry;1.17255070008;11
Dudley;Uncle;0.205862244898;10
Dudley;Petunia;0.146428571429;4
Dudley;tonelessly;0.146428571429;4
Dudley;Dursleys;0.5;1
Hornby;Harry;0.0666666666667;1
earth;Professor;0.15;1
earth;Harry;0.0;2
still;Aragog;0.206666666667;1
still;Malfoy;0.112662337662;1
Hat;Fawkes;0.1;1
Hat;Dumbledore;0.426071428571;1
Hat;Dobby;0.0;1
Hat;Ron;-0.05;1
Hat;Harry;0.0;1
Ravenclaw;Harry;-0.3;1
Dad;Hagrid;0.0;1
Dad;Ron;-0.383102272727;6
Dad;Dudley;0.0;1
Dad;Fred;0.047619047619;2
Dad;Ginny;0.0;1
Dad;George;0.0;2
sagely;Neville;0.383333333333;2
sagely;Dean;0.258333333333;2
sagely;Lee;0.22619047619;2
sagely;Ron;0.122668997669;13
sagely;impatiently;0.0833333333333;2
sagely;Professor;0.140740740741;9
sagely;Dumbledore;0.0416666666667;4
sagely;thirteen-year-old;0.245833333333;2
sagely;Harry;0.0825;15
Fang;Hagrid;0.0768565759637;14
Fang;Ron;0.354178571429;4
Fang;smoothly;0.65;1
Fang;Dumbledore;0.261111111111;3
Fang;Malfoy;0.0978869047619;14
Fang;Aragog;0.0;1
Fang;sharply;0.475;2
Fang;Harry;0.0413214285714;4
Fang;abruptly;-0.0755952380952;2
Seamus;Ron;0.45625;1
Seamus;Professor;0.0056;6
Seamus;Transfiguration;0.00364583333333;4
Seamus;Chamber;-0.0145833333333;2
Seamus;Snape;0.2890625;4
Seamus;Hermione;0.131666666667;5
Seamus;Harry;0.091884375;6
Know-Who;Ernie;0.11875;1
McGonagall;Gryffindor;0.0;1
McGonagall;Ron;-0.162698412698;1
McGonagall;Harry;0.163020833333;9
young;Lockhart;0.288461538462;1
Award;Dumbledore;0.678571428571;1
Fred;already;-0.2;1
Fred;thirteen-year-old;0.3;1
Fred;Weasley;0.398398351717;52
Fred;Wizardry;0.0666666666667;3
Fred;Wood;-0.0327272727273;5
Fred;matter-of-factly;-0.25;4
Fred;Ginny;0.383333333333;4
Fred;Dad;0.047619047619;2
Fred;Lee;-0.0409090909091;4
Fred;Hogwarts;0.1125;1
Fred;Uncle;0.0847719060524;41
Fred;Prophet;0.333333333333;1
Fred;Ministry;0.1125;1
Fred;Errol;-0.133333333333;2
Fred;Hermione;0.0150183982684;4
Fred;You-Know-Who;0.0952380952381;1
Fred;Mrs.;0.321130952381;3
Fred;angrily;-0.0727272727273;5
Fred;Malfoy;0.178884548611;12
Fred;Harry;0.0436601328718;58
Fred;Hooch;0.166393849206;4
Fred;Lockhart;0.36;2
Fred;Bludger;-0.0327272727273;5
Fred;Hagrid;1.0;1
Fred;Ron;-0.109553698241;88
Fred;Dursleys;0.1125;1
Fred;Percy;0.25;2
Fred;George;0.215889615405;59
Fred;nearly;0.0694444444444;4
only;Harry;0.0;1
Hogwarts;Fred;0.1125;1
Hogwarts;Hermione;0.3;1
Hogwarts;Ron;0.5;1
Hogwarts;Harry;-0.05;3
Flint;sharply;0.0517509276438;7
Flint;Ron;0.0506392045455;8
Flint;exasperated;0.0578733766234;7
Flint;Malfoy;0.0773538961039;7
Flint;Colin;0.149385054246;9
Flint;Wood;0.0682320202584;32
Flint;Hermione;0.124756493506;7
Flint;flatly;0.0221590909091;7
Flint;Harry;0.0468927221172;24
Flint;heartily;0.0703192640693;7
Flint;Draco;0.3875;1
Flint;George;0.0506392045455;8
excitedly;Nick;0.069708994709;9
excitedly;Norris;0.1125;4
excitedly;Harry;0.0921428571429;10
Granger;Myrtle;0.0;1
Granger;Ron;-0.1625;1
Granger;Malfoy;0.025;1
Granger;Harry;0.0;1
W-what;Weasley;0.0;1
Snape;Ernie;0.0;1
Snape;patiently;0.0611111111111;3
Snape;again;0.0658333333333;10
Snape;Club;0.0;1
Snape;Millicent;0.5;1
Snape;Filch;-0.00515873015873;6
Snape;Parselmouth;-0.12683531746;6
Snape;Neville;-0.130144557823;7
Snape;Prophet;0.000833333333333;10
Snape;Professor;0.0695181405896;4
Snape;Dumbledore;0.1014;6
Snape;Malfoy;-0.0838666180758;8
Snape;enthusiastically;-0.0304166666667;10
Snape;Hermione;0.0141294642857;3
Snape;Harry;0.496549098486;17
Snape;nothing;0.189583333333;4
Snape;Hooch;0.0201388888889;2
Snape;Seamus;0.2890625;4
Snape;Lockhart;0.147716902282;9
Snape;Hagrid;0.0875;1
Snape;Dean;-0.0769230769231;1
Snape;Ron;0.222759122647;19
Snape;Slytherin;0.0;1
earnestly;Mason;0.2;1
earnestly;Uncle;-0.0578125;8
earnestly;Dobby;-0.114794146825;18
earnestly;politely;-0.155555555556;1
earnestly;Harry;0.0469093406593;26
Hermes;Ron;0.25;1
Day;Dumbledore;0.28125;1
Minister;Weasley;0.341666666667;1
Magic;Ron;0.0861111111111;1
Magic;Professor;0.0125;1
Magic;Dumbledore;0.25;1
Magic;Harry;0.06875;1
Magic;Patil;0.116666666667;1
Magic;Lockhart;0.15;1
Celebrity;Hagrid;0.0;1
Voldemort;Ernie;0.11875;1
Voldemort;Dumbledore;0.0;1
