Name 1;Length 1;Name 2;Length 2;Mentions;Paired
Station;2;Cross;7;2;True
Department;2;Magic;33;1;True
Shunpike;2;Stan;53;2;True
Angelina;19;Katie;18;1;False
Angelina;19;Johnson;6;2;False
Angelina;19;Bell;6;1;False
pompously;1;Percy;72;1;True
finally;1;Ron;829;1;True
barely;1;Harry;2243;1;True
Day;1;Christmas;19;1;True
very;8;Hagrid;280;1;False
very;8;Lupin;423;1;False
very;8;Alley;13;1;False
very;8;Hermione;710;1;False
very;8;Harry;2243;1;False
very;8;Snitch;57;2;False
very;8;Hufflepuff;13;1;False
Voldemort;48;Lord;17;10;True
Voldemort;48;back;17;1;False
Voldemort;48;yet;2;1;True
Severus;25;Snape;257;3;False
I'd;49;rather;1;1;True
I'd;49;already;5;1;False
I'd;49;never;12;2;False
determinedly;1;Harry;2243;1;True
severely;1;Hermione;710;1;True
Thomas;11;Dean;17;9;True
Thomas;11;Finnigan;11;3;False
Thomas;11;Seamus;19;3;False
Thomas;11;boldly;1;1;True
Thomas;11;hopefully;1;1;True
Pettigrew;102;again;14;1;False
Pettigrew;102;little;9;2;False
Pettigrew;102;Lupin;423;1;False
Pettigrew;102;Ron;829;10;False
Pettigrew;102;Muggles;23;1;False
Pettigrew;102;shrilly;3;1;False
Pettigrew;102;too;3;1;False
Pettigrew;102;Buckbeak;94;1;False
Pettigrew;102;Peter;46;9;False
Pettigrew;102;Sirius;164;1;False
accidentally;1;Harry;2243;1;True
blankly;3;Ron;829;1;False
blankly;3;Harry;2243;2;True
Petunia;30;Dudley;24;2;False
Petunia;30;together;4;1;False
Petunia;30;Vernon;80;4;False
Petunia;30;Aunt;75;18;True
Petunia;30;Marge;65;1;False
Petunia;30;usually;1;1;True
George;71;bracingly;2;1;True
George;71;never;12;1;False
George;71;Weasley;123;13;False
George;71;together;4;1;False
George;71;Fred;86;24;True
George;71;seriously;3;1;False
George;71;briskly;2;1;True
Animagi;5;illegally;2;1;True
uncomfortably;1;Ron;829;1;True
Charm;8;Patronus;30;1;False
Weasley;123;brightly;3;1;False
Weasley;123;shrilly;3;1;False
Weasley;123;little;9;1;False
Weasley;123;Ron;829;2;False
Weasley;123;heavily;4;1;False
Weasley;123;Granger;18;1;False
Weasley;123;Potter;96;1;False
Weasley;123;quietly;18;1;False
Weasley;123;together;4;1;False
Weasley;123;obviously;4;2;True
Weasley;123;Percy;72;3;False
Weasley;123;Arthur;6;1;False
Weasley;123;Wood;85;1;False
Weasley;123;George;71;13;False
Weasley;123;Harry;2243;1;False
Weasley;123;wearily;2;1;True
Weasley;123;Fred;86;8;False
Weasley;123;Ginny;19;1;False
Weasley;123;briskly;2;1;True
past;12;Parvati;18;1;False
past;12;Hedwig;37;1;False
past;12;Lupin;423;2;False
past;12;Hermione;710;1;False
past;12;Harry;2243;5;True
past;12;Katie;18;1;False
crisply;1;Professor;426;1;True
crisply;1;McGonagall;108;1;True
Butterbeer;11;little;9;1;False
Goyle;45;Flint;14;1;False
Goyle;45;Crabbe;49;36;True
haughtily;1;Hermione;710;1;True
even;1;Ron;829;1;True
tensely;3;Lupin;423;1;False
tensely;3;Hermione;710;2;True
ever;4;Filch;24;1;False
ever;4;Azkaban;38;1;False
ever;4;Forest;23;1;False
ever;4;Care;15;1;False
Grim;2;Defeat;1;1;True
illegally;2;Hogsmeade;48;1;True
illegally;2;Animagi;5;1;True
McGongall;1;Professor;426;1;True
Neville;115;regularly;1;1;True
Neville;115;brightly;3;1;False
Neville;115;nervously;6;1;False
Neville;115;sadly;3;1;False
Neville;115;Lupin;423;2;False
Neville;115;alone;7;1;False
Neville;115;uncertainly;1;1;True
Neville;115;Harry;2243;2;False
Neville;115;tremulously;1;1;True
Neville;115;instead;4;1;False
Neville;115;Ginny;19;1;False
Neville;115;Longbottom;17;9;True
Brown;9;Parvati;18;2;False
Brown;9;Lavender;9;8;True
Brown;9;Patil;3;2;True
Professor;426;delicately;1;1;True
Professor;426;suddenly;25;1;False
Professor;426;Lupin;423;125;False
Professor;426;calmly;5;1;False
Professor;426;crisply;1;1;True
Professor;426;cheerfully;2;1;True
Professor;426;sternly;1;1;True
Professor;426;McGonagall;108;83;True
Professor;426;beadily;1;1;True
Professor;426;exasperatedly;1;1;True
Professor;426;Snape;257;28;False
Professor;426;halfway;1;1;True
Professor;426;really;4;1;False
Professor;426;McGongall;1;1;True
Professor;426;Binn;1;1;True
Professor;426;Dumbledore;172;23;False
Professor;426;faintly;3;1;False
Professor;426;darkly;2;1;True
Professor;426;drily;1;1;True
Professor;426;sharply;7;3;True
Professor;426;Flitwick;27;19;True
Professor;426;coldly;5;1;False
Professor;426;Binns;1;1;True
Professor;426;Trelawney;94;89;True
Professor;426;impatiently;3;1;False
Professor;426;tartly;1;1;True
Professor;426;McGonagall"s;1;1;True
Professor;426;idly;1;1;True
Professor;426;Kettleburn;2;2;True
Professor;426;reprovingly;1;1;True
Professor;426;Vector;1;1;True
Professor;426;cautiously;1;1;True
never;12;Map;13;1;False
never;12;Ministry;38;1;False
never;12;Fred;86;1;False
never;12;He'd;7;1;False
never;12;They'd;2;1;True
never;12;I'd;49;2;False
never;12;We'd;6;1;False
never;12;Harry;2243;2;False
never;12;George;71;1;False
here;4;Dementors;96;1;False
here;4;Sirius;164;2;True
here;4;Ron;829;1;False
Arthur;6;Weasley;123;1;False
alone;7;Hermione;710;2;False
alone;7;Neville;115;1;False
alone;7;Dumbledore;172;2;False
alone;7;Scabbers;111;1;False
alone;7;Harry;2243;3;True
promptly;1;Vernon;80;1;True
Bludger;18;directly;1;1;True
Hagrid;280;again;14;2;False
Hagrid;280;quietly;18;2;False
Hagrid;280;very;8;1;False
Hagrid;280;sadly;3;1;False
Hagrid;280;miserably;2;2;True
Hagrid;280;huskily;1;1;True
Hagrid;280;suddenly;25;1;False
Hagrid;280;fiercely;5;1;False
Hagrid;280;lately;1;1;True
Hagrid;280;gloomily;5;1;False
Hagrid;280;softly;7;1;False
Hagrid;280;Buckbeak;94;1;False
Hagrid;280;dully;1;1;True
Hagrid;280;Dear;10;1;False
Hagrid;280;wisely;1;1;True
Dean;17;Thomas;11;9;True
Dean;17;boldly;1;1;True
Dean;17;hopefully;1;1;True
impatiently;3;Professor;426;1;False
impatiently;3;McGonagall;108;1;False
impatiently;3;Hermione;710;1;False
impatiently;3;Fred;86;1;False
Percy;72;again;14;1;False
Percy;72;Ron;829;2;False
Percy;72;pompously;1;1;True
Percy;72;loftily;1;1;True
Percy;72;Weasley;123;3;False
Percy;72;suddenly;25;2;False
Percy;72;curiously;4;1;False
Percy;72;heartily;1;1;True
Prang;2;Ernie;8;2;True
usually;1;Vernon;80;1;True
usually;1;Petunia;30;1;True
usually;1;Aunt;75;1;True
Pomfrey;41;absent-mindedly;1;1;True
Pomfrey;41;approvingly;2;1;True
Pomfrey;41;grimly;3;1;False
Pomfrey;41;anxiously;4;1;False
Pomfrey;41;angrily;9;1;False
Pomfrey;41;suddenly;25;1;False
Pomfrey;41;soothingly;2;1;True
Pomfrey;41;now;18;2;False
Pomfrey;41;hysterically;1;1;True
Parvati;18;past;12;1;False
Parvati;18;Brown;9;2;False
Parvati;18;Patil;3;1;False
Parvati;18;suddenly;25;1;False
suddenly;25;Hermione;710;4;False
suddenly;25;Alicia;19;1;False
suddenly;25;Parvati;18;1;False
suddenly;25;Ron;829;1;False
suddenly;25;Ernie;8;1;False
suddenly;25;Hagrid;280;1;False
suddenly;25;Professor;426;1;False
suddenly;25;Lupin;423;1;False
suddenly;25;Pomfrey;41;1;False
suddenly;25;Hippogriff;36;1;False
suddenly;25;Percy;72;2;False
suddenly;25;Wood;85;1;False
suddenly;25;Aunt;75;1;False
suddenly;25;Marge;65;1;False
suddenly;25;Malfoy;203;1;False
suddenly;25;Harry;2243;7;False
suddenly;25;Black;335;1;False
suddenly;25;Ginny;19;2;False
suddenly;25;Sirius;164;1;False
suddenly;25;Katie;18;1;False
angrily;9;Pomfrey;41;1;False
angrily;9;Ron;829;3;False
angrily;9;Finnigan;11;1;False
angrily;9;Crookshanks;122;1;False
angrily;9;Hermione;710;2;False
angrily;9;Harry;2243;1;False
