Context;Incremental clustering coefficient
0;0.0
1;0.0
2;0.0
3;0.0
4;0.0
5;0.0
6;0.283516483516
7;0.340510366826
8;0.340510366826
9;0.340510366826
10;0.399217171717
11;0.399217171717
12;0.399217171717
13;0.495978449655
14;0.495978449655
15;0.460551417537
16;0.494286616162
17;0.494286616162
18;0.474837019433
19;0.474837019433
20;0.461308937976
21;0.44855006855
22;0.435994865075
23;0.561490258811
24;0.521442002557
25;0.521442002557
26;0.521442002557
27;0.521442002557
28;0.527667630455
29;0.542109497711
30;0.534393457768
31;0.538591079037
32;0.533140544217
33;0.533140544217
34;0.533140544217
35;0.538323756514
36;0.555400789265
37;0.555111727551
38;0.557969801325
39;0.561776209608
40;0.591053375004
41;0.600033565674
42;0.596175189808
43;0.596253078309
44;0.587838644023
45;0.585094919139
46;0.584501481037
47;0.584904763598
48;0.585833954199
49;0.585833954199
50;0.583711581763
51;0.583711581763
52;0.583865253265
53;0.583865253265
54;0.598888323954
55;0.590114177688
56;0.591790094221
57;0.587845030168
58;0.588051936198
59;0.578150227312
60;0.574643334255
61;0.565376633059
62;0.565376633059
63;0.561764392656
64;0.561764392656
65;0.567846356478
66;0.57031570842
67;0.57031570842
68;0.57031570842
69;0.57031570842
70;0.580711648092
71;0.580711648092
72;0.578713579476
73;0.574385096338
74;0.584495754138
75;0.580974695378
76;0.580974695378
77;0.577495804987
78;0.577495804987
79;0.579973669453
80;0.566417977809
81;0.56907989719
82;0.573260337934
83;0.570065054496
84;0.570065054496
85;0.568143861384
86;0.568143861384
87;0.568796472964
88;0.563021764256
89;0.569552051866
90;0.571664711945
91;0.570878974739
92;0.570878974739
93;0.575961128702
94;0.575961128702
95;0.578815506571
96;0.570118333733
97;0.566029078982
98;0.563412051427
99;0.567650457714
100;0.566615496701
101;0.570217160115
102;0.570217160115
103;0.575325225326
104;0.572688134311
105;0.579030580265
106;0.580925176879
107;0.580925176879
108;0.580847328712
109;0.582564270319
110;0.582564270319
111;0.579950327755
112;0.579950327755
113;0.579950327755
114;0.575944089868
115;0.575944089868
116;0.573941139202
117;0.573941139202
118;0.573762448606
119;0.573762448606
120;0.571342743909
121;0.571342743909
122;0.571746275541
123;0.572456106204
124;0.57236843877
125;0.572075023193
126;0.572075023193
127;0.576150116708
128;0.576595275603
129;0.574264474092
130;0.574264474092
131;0.575954926275
132;0.576915071952
133;0.576915071952
134;0.578585137465
135;0.578585137465
136;0.578585137465
137;0.576293781656
138;0.576293781656
139;0.576293781656
140;0.576359497222
141;0.576359497222
142;0.576359497222
143;0.577444909246
144;0.57810566991
145;0.594563543438
146;0.593732049315
147;0.593732049315
148;0.589666901728
149;0.589666901728
150;0.589959907178
151;0.589959907178
152;0.589959907178
153;0.589959907178
154;0.58889651085
155;0.584523574358
156;0.58236389374
157;0.582430361798
158;0.582430361798
159;0.582430361798
160;0.582430361798
161;0.582430361798
162;0.58028636196
163;0.584544993519
164;0.582409003872
165;0.582219595484
166;0.583685482732
167;0.583725282829
168;0.578997350792
169;0.579302295845
170;0.57723838376
171;0.57723838376
172;0.57723838376
173;0.57723838376
174;0.580131499262
