New character;Link to
Century;Harry;
Harry;Century;
Uncle;Harry;
;
Ron;Vernon;Uncle;
Vernon;Ron;
Weasley;
Drive;Aunt;Uncle;Marge;Harry;
Aunt;Marge;Uncle;Drive;Harry;
Fisheries;Harry;
Marge;Aunt;Uncle;Drive;Harry;
Black;Harry;
Brutus;Uncle;
Fubster;Marge;
You'd;Marge;
Hedwig;Ron;Hogsmeade;Vernon;Ripper;Marge;Harry;
I'd;Marge;
Hogsmeade;Hedwig;Vernon;Marge;Harry;
Ripper;Hedwig;Marge;
Dudley;Aunt;Uncle;Marge;Harry;
Muggles;Harry;
Don;Stan;Neville;Magic;Ern;Harry;
Stan;Neville;Don;Harry;Stan;Magic;Ern;
Neville;Stan;Don;Ern;Magic;Harry;
Magic;Stan;Neville;Don;Ern;Harry;
Ern;Stan;Don;Neville;Magic;Harry;
Minister;Cornelius;
Cornelius;Muggles;Black;Minister;
Inee;Magic;hastily;Black;Harry;Stan;Ern;
hastily;Magic;Inee;Black;Harry;Stan;Ern;
You-Know-'Oo;Harry;
Potter;Ern;Harry;
Tom;Stan;Drive;Harry;
Hogwarts;Stan;
oo;Stan;
Malkin;Harry;
Book;Harry;
Dad;Hermione;
Scabbers;Egypt;simply;Hermione;Ron;Harry;
Errol;Hermione;Ron;
Hermione;Dad;Scabbers;Ron;Errol;simply;Galleons;Harry;
Galleons;Hermione;
Egypt;Scabbers;
Muggle;Ron;
simply;Hermione;Scabbers;Ron;Harry;
pompously;defensively;Menagerie;Scabbers;Ron;Weasley;Fred;Percy;Crookshanks;Hermione;Harry;Mrs;George;
It'd;George;Ron;
defensively;Menagerie;Scabbers;Ron;pompously;Weasley;Fred;Percy;Crookshanks;Hermione;Harry;Mrs;George;
Fred;defensively;Menagerie;Scabbers;Ron;pompously;Weasley;Crookshanks;Percy;Hermione;Harry;Mrs;George;
Ministry;Weasley;Ron;
Mrs;defensively;Menagerie;Scabbers;Ron;pompously;Weasley;Fred;Percy;Crookshanks;Hermione;Harry;George;
Menagerie;defensively;Scabbers;Ron;pompously;Weasley;Fred;Percy;Crookshanks;Hermione;Harry;Mrs;George;
Percy;defensively;Menagerie;Scabbers;Ron;pompously;Weasley;Fred;Crookshanks;Hermione;Harry;Mrs;George;
Crookshanks;defensively;Menagerie;Scabbers;Ron;pompously;Weasley;Fred;Percy;Hermione;Harry;Mrs;George;
George;defensively;Menagerie;Scabbers;Ron;pompously;Weasley;Fred;Percy;Crookshanks;Hermione;Harry;Mrs;It'd;
Prophet;Weasley;
Dumbledore;Mr;
Azkaban;Percy;Black;
Albus;Weasley;
Mr;Percy;Dumbledore;Black;Weasley;
huffily;Mr;Ginny;Weasley;Ron;Harry;
Ginny;Harry;huffily;Weasley;Ron;Mr;
Penelope;Harry;
uncomfortably;word;Ron;keenly;Professor;Crookshanks;Hermione;Harry;doubtfully;spiritedly;
doubtfully;word;Ron;keenly;uncomfortably;Crookshanks;Hermione;Harry;Professor;spiritedly;
McGonagall;Harry;
Professor;word;Ron;keenly;uncomfortably;Crookshanks;Fred;Hermione;Harry;doubtfully;
word;Ron;keenly;uncomfortably;Crookshanks;Hermione;Harry;doubtfully;Professor;spiritedly;
keenly;word;Ron;uncomfortably;Crookshanks;Hermione;Harry;doubtfully;Professor;spiritedly;
