Dialog #;Spacing (#Lines between two lines)
9;0
23;0
33;10
35;2
37;2
38;1
39;1
40;1
42;2
43;1
46;3
49;3
110;0
190;0
208;18
213;5
262;0
263;1
267;4
268;1
269;1
273;4
274;1
275;1
277;2
278;1
280;2
282;2
288;6
291;3
292;1
293;1
294;1
295;1
296;1
297;1
299;2
302;3
303;1
304;1
305;1
307;2
311;4
313;2
314;1
316;2
317;1
319;2
320;1
321;1
322;1
325;3
326;1
329;3
331;2
333;2
342;9
343;1
348;5
353;5
359;6
360;1
364;4
366;2
368;2
369;1
370;1
371;1
375;4
377;2
380;3
381;1
382;1
383;1
386;3
387;1
388;1
389;1
390;1
392;2
394;2
395;1
396;1
397;1
399;2
401;2
408;0
415;7
418;3
419;1
420;1
436;0
439;3
443;4
444;1
445;1
448;3
450;2
452;2
457;5
460;3
461;1
462;1
463;1
467;4
469;2
470;1
473;3
474;1
476;2
477;1
483;6
484;1
485;1
493;8
494;1
497;3
499;2
534;0
546;12
551;5
552;1
553;1
555;2
558;3
559;1
560;1
563;3
565;2
566;1
567;1
569;2
570;1
571;1
572;1
577;5
578;1
580;2
582;2
586;4
587;1
588;1
590;2
591;1
592;1
593;1
599;6
607;8
608;1
610;2
612;2
617;0
619;2
620;1
624;0
625;1
626;1
627;1
629;2
630;1
632;2
633;1
636;3
637;1
638;1
639;1
640;1
641;1
643;2
644;1
646;2
648;2
650;2
652;2
653;1
654;1
655;1
656;1
657;1
658;1
660;2
662;2
663;1
674;11
675;1
676;1
683;7
685;2
688;3
690;2
693;3
696;3
697;1
698;1
699;1
700;1
704;4
705;1
706;1
708;2
709;1
710;1
711;1
712;1
716;4
719;3
723;4
725;2
728;3
729;1
731;2
732;1
735;3
736;1
738;2
739;1
740;1
741;1
742;1
744;2
745;1
747;2
748;1
749;1
750;1
756;6
757;1
758;1
759;1
761;2
762;1
765;3
767;2
769;2
770;1
771;1
773;2
774;1
775;1
778;3
781;3
784;3
789;5
801;0
802;1
808;6
810;2
811;1
812;1
813;1
828;0
837;9
838;1
839;1
840;1
841;1
842;1
843;1
844;1
845;1
847;2
848;1
849;1
850;1
853;3
856;3
860;4
862;2
863;1
869;6
871;2
880;0
882;2
883;1
884;1
885;1
887;2
889;2
890;1
891;1
892;1
893;1
894;1
895;1
896;1
897;1
898;1
899;1
901;2
902;1
903;1
904;1
905;1
906;1
909;3
910;1
912;2
913;1
914;1
916;2
927;11
928;1
932;4
933;1
934;1
936;2
938;2
939;1
940;1
941;1
943;2
944;1
945;1
947;2
949;2
953;4
954;1
955;1
956;1
960;4
962;2
967;5
969;2
971;2
972;1
973;1
976;3
977;1
979;2
980;1
981;1
983;2
985;2
986;1
987;1
988;1
989;1
991;2
992;1
993;1
994;1
997;3
998;1
999;1
1000;1
1001;1
1003;2
1004;1
1005;1
1006;1
1007;1
1008;1
1009;1
1010;1
1011;1
1012;1
1013;1
1015;2
1017;2
1019;2
1022;3
1024;2
1026;2
1028;2
1029;1
1031;2
1033;2
1035;2
1036;1
1037;1
1044;7
1045;1
1047;2
1049;2
1050;1
1051;1
1052;1
1054;2
1057;3
1058;1
1059;1
1060;1
1061;1
1062;1
1063;1
1064;1
1065;1
1066;1
1068;2
1069;1
1072;3
1075;3
1076;1
1077;1
1078;1
1079;1
1080;1
1087;7
1108;21
1109;1
1117;0
1118;1
1121;3
1123;2
1126;3
1127;1
1130;3
1132;2
1138;6
1145;7
1147;2
1152;5
1154;2
1155;1
1157;2
1158;1
1159;1
1160;1
1161;1
1162;1
1163;1
1164;1
1166;2
1167;1
1168;1
1169;1
1170;1
1171;1
1173;2
1174;1
1177;3
1178;1
1180;2
1181;1
1186;5
1187;1
1188;1
1196;8
1198;2
1199;1
1200;1
1201;1
1202;1
1203;1
1206;3
1207;1
1210;3
1211;1
1212;1
1216;4
1217;1
1218;1
1219;1
1223;4
1225;2
1226;1
1228;2
1229;1
1231;2
1232;1
1235;3
1236;1
1237;1
1238;1
1239;1
1241;2
1242;1
1243;1
1244;1
1246;2
1247;1
1248;1
1250;2
1252;2
1255;3
1256;1
1257;1
1258;1
1259;1
1260;1
1261;1
1262;1
1263;1
1264;1
1265;1
1273;8
1274;1
1276;2
1277;1
1279;2
1280;1
1281;1
1282;1
1289;7
1291;2
1292;1
1293;1
1295;2
1297;2
1299;2
1301;2
1305;4
1307;2
1308;1
1309;1
1317;8
1318;1
1319;1
1320;1
1322;2
1323;1
1325;2
1327;2
1328;1
1329;1
1330;1
1332;2
1333;1
1334;1
1335;1
1336;1
1337;1
1338;1
1339;1
1340;1
1341;1
1342;1
1344;2
1352;8
1373;21
1375;2
1382;7
1384;2
1385;1
1386;1
1389;3
1392;3
1394;2
1396;2
1399;3
1401;2
1403;2
1405;2
1406;1
1407;1
1408;1
1409;1
1410;1
1412;2
1414;2
1419;5
1421;2
1423;2
1427;4
1428;1
1440;12
1442;2
1443;1
1444;1
1445;1
1449;4
1451;2
1456;5
1459;3
1463;4
1464;1
1465;1
1466;1
1468;2
1471;3
1472;1
1474;2
1475;1
1476;1
1477;1
1480;3
1481;1
1482;1
1483;1
1484;1
1486;2
1487;1
1492;5
1498;6
1505;7
1506;1
1507;1
1509;2
1512;3
1513;1
1517;4
1518;1
1523;5
1527;4
1528;1
1530;2
1539;9
1540;1
1541;1
1544;3
1547;3
1548;1
1549;1
1550;1
1562;0
1563;1
1564;1
1566;2
1567;1
1569;2
1570;1
1571;1
1572;1
1574;2
1576;2
1577;1
1581;4
1582;1
1583;1
1584;1
1585;1
1586;1
1587;1
1588;1
1589;1
1590;1
1593;3
1594;1
1596;2
1599;3
1601;2
1605;4
1611;6
1612;1
1613;1
1619;6
1620;1
1623;3
1625;2
1628;3
1629;1
1630;1
1631;1
1632;1
1636;4
1639;3
1640;1
1641;1
1644;3
1647;3
1655;8
1658;3
1662;4
1664;2
1666;2
1668;2
1669;1
1670;1
1672;2
1674;2
1676;2
1678;2
1680;2
1682;2
1685;3
1686;1
1688;2
1691;3
1692;1
1694;2
1695;1
1696;1
1697;1
1698;1
1700;2
1701;1
1702;1
1704;2
1706;2
1707;1
1709;2
1714;5
1715;1
1716;1
1720;4
1721;1
1723;2
1724;1
1725;1
1728;3
1729;1
1731;2
1736;5
1738;2
1740;2
1741;1
1744;3
1747;3
1752;5
1753;1
1756;3
1757;1
1759;2
1760;1
1761;1
1762;1
1767;5
1769;2
1770;1
1771;1
1772;1
1774;2
1776;2
1777;1
1778;1
1779;1
1780;1
1782;2
1783;1
1785;2
1786;1
1789;3
1792;3
1793;1
1804;0
1805;1
1807;2
1811;4
1812;1
1813;1
1815;2
1817;2
1821;4
1824;3
1827;3
1828;1
1829;1
1830;1
1831;1
1832;1
1833;1
1834;1
1835;1
1838;3
1840;2
1841;1
1842;1
1843;1
1849;6
1852;3
1853;1
1855;2
1856;1
1859;3
1861;2
1863;2
1864;1
1868;4
1870;2
1871;1
1874;3
1875;1
1879;4
1882;3
1887;5
1889;2
1890;1
1894;4
1897;3
1901;4
1906;5
1907;1
1914;7
1915;1
1917;2
1918;1
1919;1
1920;1
1925;5
1927;2
1931;4
1934;3
1936;2
1937;1
1938;1
1940;2
1942;2
1946;4
1948;2
1950;2
1951;1
1952;1
1955;3
1958;3
1959;1
1961;2
1962;1
1963;1
1964;1
1966;2
1967;1
1968;1
1972;4
1973;1
1974;1
1976;2
1977;1
1980;3
1982;2
1985;3
1987;2
1989;2
1991;2
1992;1
1993;1
1995;2
1996;1
2004;0
2005;1
2006;1
2008;2
2009;1
2010;1
2013;3
2014;1
2016;2
2018;2
2020;2
2022;2
2023;1
2025;2
2027;2
2028;1
2032;4
2034;2
2035;1
2036;1
2037;1
2038;1
2039;1
2043;4
2046;3
2047;1
2049;2
2051;2
2052;1
2053;1
2056;3
2057;1
2059;2
2062;3
2063;1
2065;2
2066;1
2068;2
2070;2
2072;2
2073;1
2074;1
2078;4
2079;1
2081;2
2082;1
2084;2
2092;8
2095;3
2098;3
2101;3
2104;3
2106;2
2108;2
2110;2
2111;1
2112;1
2115;3
2117;2
2118;1
2119;1
2120;1
2127;0
2130;3
2134;4
2137;3
2141;4
2142;1
2145;3
2147;2
2150;3
2154;4
2156;2
2160;4
2163;3
2165;2
2168;3
2169;1
2171;2
2172;1
2176;4
2177;1
2179;2
2180;1
2185;5
2186;1
2187;1
2189;2
2191;2
2193;2
2194;1
